preferredName_A	preferredName_B	score
BIRC5	AURKB	0.999
BIRC5	INCENP	0.999
BIRC5	CDCA8	0.999
BIRC5	CDK1	0.997
BIRC5	CDC20	0.995
BIRC5	AURKA	0.993
BIRC5	CCNB1	0.993
BIRC5	CCNB2	0.993
BIRC5	UBE2C	0.992
BIRC5	BUB1B	0.987
BIRC5	MAD2L1	0.981
BIRC5	PLK1	0.98
BIRC5	BUB1	0.979
BIRC5	PBK	0.978
BIRC5	TOP2A	0.976
BIRC5	KIF20A	0.973
BIRC5	KIF2C	0.972
BIRC5	AURKC	0.972
BIRC5	DLGAP5	0.967
BIRC5	MELK	0.965
BIRC5	CENPE	0.963
BIRC5	CENPF	0.96
BIRC5	XIAP	0.96
BIRC5	CDCA3	0.96
BIRC5	FOXM1	0.958
BIRC5	KIF11	0.957
BIRC5	CCNA2	0.956
BIRC5	CENPA	0.955
BIRC5	NUSAP1	0.953
BIRC5	TPX2	0.952
BIRC5	NUF2	0.949
BIRC5	CDCA5	0.942
BIRC5	PRC1	0.94
BIRC5	NEK2	0.94
BIRC5	MKI67	0.939
BIRC5	TTK	0.936
BIRC5	PCLAF	0.93
BIRC5	TP53	0.93
BIRC5	PTTG1	0.926
BIRC5	KIF4A	0.925
BIRC5	SPC24	0.924
BIRC5	TK1	0.92
BIRC5	DIABLO	0.919
BIRC5	ESPL1	0.917
BIRC5	SPAG5	0.917
BIRC5	ZWINT	0.917
BIRC5	CASP3	0.916
BIRC5	CEP55	0.913
BIRC5	HJURP	0.912
BIRC5	CASP9	0.911
