preferredName_A	preferredName_B	score
CD40LG	ICOS	0.999
CD40LG	CD40	0.999
CD40LG	CD80	0.998
CD40LG	CD28	0.998
CD40LG	CD86	0.998
CD40LG	LOC102723996	0.989
CD40LG	ICOSLG	0.988
CD40LG	SELPLG	0.983
CD40LG	CD4	0.983
CD40LG	CD70	0.964
CD40LG	TNFSF13B	0.961
CD40LG	TNFRSF13C	0.959
CD40LG	TNFSF4	0.958
CD40LG	SELP	0.951
CD40LG	TNF	0.942
CD40LG	TNFRSF4	0.938
CD40LG	TNFRSF13B	0.938
CD40LG	CD276	0.935
CD40LG	ITGA2B	0.934
CD40LG	CD27	0.934
CD40LG	ITGB2	0.925
CD40LG	IL2	0.924
CD40LG	IFNG	0.919
CD40LG	IL4	0.914
CD40LG	TNFRSF9	0.909
CD40LG	CD8A	0.907
