preferredName_A	preferredName_B	score
ERBB4	ERBB3	0.999
ERBB4	SHC1	0.999
ERBB4	BTC	0.999
ERBB4	NRG3	0.999
ERBB4	NRG2	0.999
ERBB4	GRB2	0.999
ERBB4	EGF	0.999
ERBB4	EREG	0.999
ERBB4	HBEGF	0.999
ERBB4	NRG1	0.999
ERBB4	NRG4	0.999
ERBB4	ERBB2	0.999
ERBB4	DLG4	0.998
ERBB4	EGFR	0.996
ERBB4	STAT5A	0.995
ERBB4	YAP1	0.994
ERBB4	STAT5B	0.993
ERBB4	WWOX	0.993
ERBB4	AREG	0.992
ERBB4	TGFA	0.989
ERBB4	PIK3R2	0.977
ERBB4	PIK3CA	0.97
ERBB4	PLCG1	0.968
ERBB4	ESR1	0.961
ERBB4	SHC2	0.958
ERBB4	PIK3R1	0.948
ERBB4	SHC3	0.947
ERBB4	PIK3CB	0.947
ERBB4	SHC4	0.942
ERBB4	PIK3R3	0.942
ERBB4	PLCG2	0.938
ERBB4	WWP1	0.929
ERBB4	PTPN11	0.927
ERBB4	PIK3CD	0.925
ERBB4	ITCH	0.924
ERBB4	DCN	0.922
ERBB4	SRC	0.916
ERBB4	TAB2	0.907
