uniprot_id	gene_id
Q92537	SUSD6
Q6UXD5	SEZ6L2
A0A8Q3WL76	C7
A0A8I5KWH5	CSMD2
Q9BYH1	SEZ6L
P20851	C4BPB
P14222	PRF1
Q4LDE5	SVEP1
P78539	SRPX
Q96L08	SUSD3
P14151	SELL
A0A8Q3WKM6	C2
A0A1W2PPV2	CR2
E5RIG2	CSMD1
A0A8Q3WKN4	C8A
Q5SR44	CR1
Q6NSD3	CFHR3
A0A8Q3SIC3	CFH
A0A384NKM6	APOH
A6PVY5	C4BPA
P13671	C6
Q13219	PAPPA
K7ELJ4	SEZ6
Q2VPA4	CR1L
Q9BXP8	PAPPA2
Q5R349	SELP
P05160	F13B
A0A1W2PNZ6	SRPX2
A0A8Q3WLA6	CD46
A0A8V8TNF4	CFHR5
Q92496	CFHR4
Q03591	CFHR1
A0A8V8TPL2	CFHR2
A0A8Q3SI51	CD55
A0A8Q3SIA7	C8B
H7BXX0	CSMD3
A0A8Q3SI37	C9
A0A0G2JH38	CFB
A0A7P0T8V7	SUSD4
