preferredName_A	preferredName_B	score
ITGA2	ITGB1	0.999
ITGA2	FN1	0.986
ITGA2	ITGB3	0.984
ITGA2	COL1A1	0.983
ITGA2	ITGB5	0.98
ITGA2	GP6	0.976
ITGA2	COL3A1	0.976
ITGA2	ITGB2	0.974
ITGA2	ITGB6	0.974
ITGA2	COL1A2	0.973
ITGA2	ITGA3	0.972
ITGA2	ITGA1	0.969
ITGA2	ITGAV	0.967
ITGA2	ITGB8	0.966
ITGA2	ITGA5	0.962
ITGA2	ITGA4	0.951
ITGA2	ITGA11	0.947
ITGA2	ITGB7	0.946
ITGA2	ITGA10	0.944
ITGA2	PTK2	0.94
ITGA2	HSPG2	0.937
ITGA2	ITGB4	0.924
ITGA2	CHAD	0.919
ITGA2	PIK3CB	0.918
ITGA2	ITGAL	0.917
ITGA2	PIK3R1	0.916
ITGA2	PIK3CA	0.913
ITGA2	PIK3R3	0.913
ITGA2	PRKACB	0.911
ITGA2	PIK3CD	0.91
ITGA2	PRKACG	0.908
ITGA2	PTPN6	0.908
ITGA2	PRKACA	0.908
ITGA2	PIK3R2	0.907
