preferredName_A	preferredName_B	score
APP	SORL1	0.999
APP	APBB1	0.999
APP	APOE	0.999
APP	BACE1	0.999
APP	PSEN1	0.999
APP	TNFRSF21	0.998
APP	CLU	0.998
APP	PRNP	0.998
APP	NAE1	0.998
APP	APBA2	0.998
APP	NCSTN	0.998
APP	APBA1	0.998
APP	IDE	0.995
APP	MAPT	0.995
APP	APBB2	0.995
APP	KAT5	0.993
APP	SNCA	0.993
APP	FPR2	0.987
APP	PSENEN	0.986
APP	SPON1	0.986
APP	APH1A	0.986
APP	CD74	0.985
APP	APBB3	0.984
APP	LRP1	0.983
APP	APOA1	0.982
APP	TTR	0.982
APP	GAPDH	0.98
APP	PITRM1	0.976
APP	LCN2	0.974
APP	PSEN2	0.969
APP	KLK6	0.967
APP	APBA3	0.964
APP	MAPK8IP1	0.963
APP	NGFR	0.959
APP	EP300	0.959
APP	F11	0.954
APP	ADAM10	0.95
APP	CNTN4	0.95
APP	GRB2	0.945
APP	KLC1	0.943
APP	CNTN2	0.943
APP	ITM2B	0.939
APP	IAPP	0.938
APP	ACHE	0.937
APP	APPBP2	0.936
APP	SHC1	0.933
APP	GNB1	0.932
APP	GSK3A	0.927
APP	CST3	0.927
APP	SYP	0.918
