,assembly,n_uniprots,composition,crystal_id
0,1,1.0,Homo,4hix
0,1,1.0,Homo,6itu
0,1,2.0,Homo,7jxn
1,2,2.0,Homo,7jxn
0,1,1.0,Homo,1qxc
0,1,1.0,Homo,2otk
0,1,1.0,Homo,6yhx
0,1,1.0,Homo,8qn7
0,1,2.0,Hetero,6xov
0,1,1.0,Homo,1mwp
0,1,1.0,Homo,1ze9
0,1,1.0,Homo,6oiz
0,1,1.0,Homo,5onp
0,1,10.0,Homo,9czp
0,1,0.0,Hetero,8i4o
1,2,0.0,Hetero,8i4o
2,3,0.0,Hetero,8i4o
3,4,0.0,Hetero,8i4o
4,5,0.0,Hetero,8i4o
5,6,0.0,Hetero,8i4o
0,1,3.0,Homo,5hox
1,2,3.0,Homo,5hox
2,3,3.0,Homo,5hox
3,4,3.0,Homo,5hox
4,5,6.0,Homo,5hox
0,1,1.0,Homo,1bjb
0,1,10.0,Homo,2lmo
0,1,2.0,Hetero,4mvk
0,1,1.0,Homo,2fkl
1,2,1.0,Homo,2fkl
0,1,7.0,Homo,7o1q
0,1,6.0,Homo,8kf5
0,1,2.0,Homo,2lz4
0,1,1.0,Homo,2bp4
0,1,1.0,Homo,2mj1
0,1,6.0,Homo,5hoy
1,2,3.0,Homo,5hoy
2,3,3.0,Homo,5hoy
3,4,3.0,Homo,5hoy
4,5,3.0,Homo,5hoy
0,1,1.0,Homo,4ojf
0,1,0.0,Hetero,6co3
0,1,1.0,Homo,8b9r
0,1,1.0,Homo,6nb9
0,1,1.0,Homo,3ifn
0,1,1.0,Homo,3ifo
1,2,1.0,Homo,3ifo
0,1,1.0,Homo,6yho
0,1,1.0,Homo,1bjc
0,1,9.0,Homo,8kf3
0,1,10.0,Homo,8ol5
0,1,0.0,Hetero,8t82
0,1,2.0,Homo,7rtz
0,1,10.0,Homo,2lmn
0,1,9.0,Homo,5oqv
0,1,2.0,Hetero,4m1c
1,2,2.0,Hetero,4m1c
0,1,2.0,Hetero,1brc
0,1,2.0,Hetero,3dxd
1,2,2.0,Hetero,3dxd
0,1,1.0,Homo,8b9q
0,1,2.0,Homo,3ktm
1,2,2.0,Homo,3ktm
2,3,2.0,Homo,3ktm
3,4,2.0,Homo,3ktm
4,5,1.0,Homo,3ktm
5,6,1.0,Homo,3ktm
