preferredName_A	preferredName_B	score
CTNNA1	CTNNB1	0.999
CTNNA1	VCL	0.999
CTNNA1	CDH1	0.999
CTNNA1	CTNND1	0.998
CTNNA1	JUP	0.991
CTNNA1	CDH2	0.99
CTNNA1	TJP1	0.987
CTNNA1	AFDN	0.984
CTNNA1	CDH17	0.983
CTNNA1	CTNNA2	0.979
CTNNA1	APC	0.975
CTNNA1	ACTN1	0.974
CTNNA1	CDH5	0.972
CTNNA1	ACTB	0.957
CTNNA1	CTNNA3	0.955
CTNNA1	ACTG1	0.953
CTNNA1	YWHAG	0.942
CTNNA1	ACTN4	0.94
CTNNA1	CDH3	0.93
CTNNA1	YWHAH	0.923
CTNNA1	YWHAZ	0.914
CTNNA1	ACTA1	0.912
CTNNA1	YWHAE	0.912
CTNNA1	YWHAQ	0.911
CTNNA1	APC2	0.904
CTNNA1	YWHAB	0.903
