preferredName_A	preferredName_B	score
IGF1	IGFBP5	0.999
IGF1	INSR	0.999
IGF1	IGFBP3	0.999
IGF1	IGF1R	0.999
IGF1	INS	0.999
IGF1	IGFBP4	0.999
IGF1	IGFBP2	0.999
IGF1	IGFBP6	0.999
IGF1	IGFALS	0.999
IGF1	IGFBP1	0.999
IGF1	IRS1	0.998
IGF1	IGF2	0.998
IGF1	IGF2R	0.995
IGF1	EGF	0.995
IGF1	IGFBP7	0.995
IGF1	ERBB2	0.992
IGF1	EGFR	0.991
IGF1	HSPB3	0.991
IGF1	NTRK1	0.99
IGF1	VTN	0.989
IGF1	DCN	0.989
IGF1	FCGR1A	0.987
IGF1	IRS2	0.984
IGF1	TGFA	0.98
IGF1	GRB10	0.977
IGF1	TGFB1	0.976
IGF1	ESR1	0.964
IGF1	ITGB3	0.961
IGF1	GHR	0.956
IGF1	PDGFC	0.956
IGF1	PDGFA	0.949
IGF1	PDGFB	0.949
IGF1	GHRL	0.948
IGF1	AKT1	0.935
IGF1	PDGFD	0.931
IGF1	PDGFRB	0.926
IGF1	TRPV2	0.922
IGF1	GHRH	0.916
IGF1	KDR	0.914
IGF1	IL6	0.913
IGF1	PTH	0.911
IGF1	GH1	0.91
IGF1	FOXO1	0.91
IGF1	MET	0.908
IGF1	LEP	0.907
IGF1	FN1	0.907
