Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_MMK,,,0.82037,0.96552,0.49438,0.91667,0.71338,0.60606
PERM_MMK,,,0.79593,0.98291,0.2809,0.92593,0.64246,0.59596
KPYM_MMK,HSPB1_MMK,MMP9_MMK,0.7896,0.9505,0.36364,0.86486,0.63158,0.31313
KPYM_MMK,,,0.78312,0.97368,0.1573,0.82353,0.59677,0.57576
KPYM_MMK,HSPB1_MMK,PERM_MMK,0.77418,0.95098,0.27273,0.82759,0.60248,0.30303
AGRIN_MMK,HSPB1_MMK,MMP9_MMK,0.77023,0.95098,0.43678,0.88372,0.66438,0.37374
HSPB1_MMK,PERM_MMK,MMP9_MMK,0.76737,0.95192,0.44318,0.88636,0.66892,0.36364
HSPB1_MMK,MMP9_MMK,,0.76672,0.96154,0.42045,0.90244,0.66225,0.35354
AGRIN_MMK,HSPB1_MMK,PERM_MMK,0.73574,0.95146,0.34483,0.85714,0.63226,0.39394
HSPB1_MMK,PERM_MMK,,0.73117,0.9619,0.34091,0.88235,0.63522,0.41414
AGRIN_MMK,,,0.72786,0.97414,0.17045,0.83333,0.60753,0.57576
AGRIN_MMK,KPYM_MMK,HSPB1_MMK,0.72628,0.95098,0.17241,0.75,0.57396,0.30303
KPYM_MMK,HSPB1_MMK,,0.72595,0.95146,0.11364,0.66667,0.55682,0.29293
AGRIN_MMK,PERM_MMK,MMP9_MMK,0.72059,0.96491,0.29545,0.86667,0.63953,0.42424
AGRIN_MMK,MMP9_MMK,,0.71312,0.96491,0.27273,0.85714,0.63218,0.43434
AGRIN_MMK,KPYM_MMK,MMP9_MMK,0.70987,0.95495,0.27273,0.82759,0.62353,0.42424
KPYM_MMK,MMP9_MMK,,0.70726,0.95536,0.2809,0.83333,0.62573,0.45455
KPYM_MMK,PERM_MMK,MMP9_MMK,0.70716,0.97321,0.20225,0.85714,0.60556,0.41414
PERM_MMK,MMP9_MMK,,0.69498,0.96552,0.13483,0.75,0.59259,0.50505
KPYM_MMK,PERM_MMK,,0.65745,0.9646,0.19101,0.80952,0.60221,0.53535
AGRIN_MMK,PERM_MMK,,0.65415,0.95652,0.20455,0.78261,0.61111,0.51515
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.65392,0.97321,0.21591,0.86364,0.61236,0.48485
AGRIN_MMK,HSPB1_MMK,,0.6534,0.95192,0.10345,0.64286,0.55932,0.39394
AGRIN_MMK,KPYM_MMK,,0.64773,0.97345,0.09091,0.72727,0.57895,0.49495
HSPB1_MMK,,,0.61578,0.98113,0.11364,0.83333,0.57143,0.54545
