,assembly,n_uniprots,composition,crystal_id
0,1,2,Homo,4bd8
1,2,2,Homo,4bd8
0,1,2,Hetero,4zig
0,1,2,Hetero,3pl7
1,2,1,Homo,3pl7
0,1,2,Hetero,6xy6
1,2,2,Hetero,6xy6
2,3,2,Hetero,6xy6
3,4,2,Hetero,6xy6
4,5,2,Hetero,6xy6
5,6,2,Hetero,6xy6
6,7,2,Hetero,6xy6
7,8,2,Hetero,6xy6
0,1,2,Homo,8svk
1,2,2,Homo,8svk
0,1,2,Hetero,4uf2
0,1,2,Hetero,4zif
0,1,1,Homo,1f16
0,1,2,Homo,4bd7
1,2,2,Homo,4bd7
0,1,2,Homo,8g1t
1,2,2,Homo,8g1t
2,3,2,Homo,8g1t
3,4,2,Homo,8g1t
0,1,2,Hetero,4zii
0,1,2,Homo,8spz
1,2,2,Homo,8spz
0,1,2,Hetero,4zie
0,1,6,Homo,8spf
0,1,2,Hetero,6trr
0,1,1,Homo,5w60
0,1,1,Homo,6eb6
0,1,2,Hetero,3pk1
1,2,2,Hetero,3pk1
0,1,2,Homo,4s0o
0,1,2,Homo,4bdu
1,2,2,Homo,4bdu
0,1,2,Homo,4bd6
0,1,3,Homo,5w5z
0,1,4,Hetero,2g5b
1,2,4,Hetero,2g5b
2,3,4,Hetero,2g5b
3,4,4,Hetero,2g5b
0,1,1,Homo,5w61
0,1,4,Hetero,8srx
0,1,4,Hetero,8sry
0,1,2,Hetero,2k7w
0,1,2,Hetero,4zih
0,1,2,Homo,6l95
0,1,2,Homo,6l8v
0,1,4,Hetero,7adt
0,1,2,Hetero,2lr1
0,1,1,Homo,4s0p
1,2,1,Homo,4s0p
0,1,3,Homo,5w5x
1,2,3,Homo,5w5x
0,1,2,Hetero,4bd2
0,1,4,Homo,8spe
1,2,4,Homo,8spe
2,3,4,Homo,8spe
3,4,4,Homo,8spe
4,5,4,Homo,8spe
5,6,4,Homo,8spe
6,7,4,Homo,8spe
7,8,4,Homo,8spe
8,9,4,Homo,8spe
