Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP2_CLIC1,0.8443,1.0,0.0678,1.0,0.51754,0.0101
CLIC1_TIMP2,0.8443,1.0,0.01695,1.0,0.50427,0.50505
AGRIN_TIMP2,0.81844,1.0,0.0339,1.0,0.50862,0.51515
TIMP2_AGRIN,0.81844,1.0,0.0339,1.0,0.50862,0.0101
MMP9_TIMP2,0.75955,1.0,0.05085,1.0,0.51304,0.50505
TIMP2_MMP9,0.75955,1.0,0.01695,1.0,0.50427,0.0101
PERM_TIMP2,0.74398,1.0,0.0678,1.0,0.50893,0.51515
TIMP2_PERM,0.74398,1.0,0.05085,1.0,0.50442,0.0101
KPYM_TIMP2,0.7294,1.0,0.06897,1.0,0.52212,0.51515
TIMP2_KPYM,0.7294,1.0,0.01724,1.0,0.50862,0.0202
HSPB1_TIMP2,0.70756,1.0,0.0339,1.0,0.50862,0.51515
TIMP2_HSPB1,0.70756,1.0,0.0339,1.0,0.50862,0.0101
PIGR_CLIC1,0.69,1.0,0.01667,1.0,0.5042,0.14141
CLIC1_PIGR,0.69,0,0,0,0,0.5
HSPB1_CLIC1,0.68889,1.0,0.01667,1.0,0.5042,0.32323
CLIC1_HSPB1,0.68889,0.98333,0.05,0.75,0.50862,0.50505
MMP9_PIGR,0.67056,0,0,0,0,0.5
PIGR_MMP9,0.67056,1.0,0.01667,1.0,0.5042,0.29293
AGRIN_PIGR,0.66056,0,0,0,0,0.5
PIGR_AGRIN,0.66056,0.98333,0.03333,0.66667,0.50427,0.32323
PERM_PIGR,0.64914,0,0,0,0,0.5
PIGR_PERM,0.64914,1.0,0.01667,1.0,0.49573,0.22222
MMP9_HSPB1,0.60889,0,0,0,0,0.5
AGRIN_HSPB1,0.60889,0,0,0,0,0.5
HSPB1_MMP9,0.60889,1.0,0.08333,1.0,0.52174,0.45455
HSPB1_AGRIN,0.60889,0,0,0,0,0.5
KPYM_CLIC1,0.60395,1.0,0.01695,1.0,0.50847,0.0101
CLIC1_KPYM,0.60395,1.0,0.11864,1.0,0.53571,0.50505
HSPB1_PIGR,0.60222,0.95,0.08333,0.625,0.50893,0.50505
PIGR_HSPB1,0.60222,1.0,0.01667,1.0,0.5042,0.25253
KPYM_PIGR,0.59605,0,0,0,0,0.5
PIGR_KPYM,0.59605,1.0,0.01695,1.0,0.50847,0.35354
AGRIN_CLIC1,0.57694,1.0,0.01667,1.0,0.5042,0.35354
CLIC1_AGRIN,0.57694,0,0,0,0,0.5
MMP9_PERM,0.57184,0,0,0,0,0.5
PERM_MMP9,0.57184,0.98276,0.03333,0.66667,0.49565,0.41414
PERM_CLIC1,0.56149,1.0,0.01667,1.0,0.49573,0.20202
CLIC1_PERM,0.56149,0,0,0,0,0.5
MMP9_KPYM,0.55706,0,0,0,0,0.5
KPYM_MMP9,0.55706,1.0,0.01695,1.0,0.50847,0.36364
HSPB1_PERM,0.55632,0,0,0,0,0.5
PERM_HSPB1,0.55632,0,0,0,0,0.5
KPYM_AGRIN,0.54802,1.0,0.01695,1.0,0.50847,0.26263
AGRIN_KPYM,0.54802,0,0,0,0,0.5
