preferredName_A	preferredName_B	score
CS	ACO1	0.999
CS	ACO2	0.999
CS	MDH2	0.999
CS	ACLY	0.998
CS	DLAT	0.996
CS	SDHB	0.996
CS	IDH2	0.994
CS	IDH1	0.993
CS	FH	0.993
CS	PC	0.987
CS	ACSS1	0.984
CS	SDHA	0.984
CS	ACSS2	0.983
CS	ACAT1	0.977
CS	ME2	0.975
CS	IREB2	0.974
CS	ME1	0.972
CS	ME3	0.968
CS	ACAT2	0.966
CS	SLC25A1	0.964
CS	LDHC	0.962
CS	SUCLA2	0.96
CS	PCK2	0.958
CS	PCK1	0.955
CS	GOT2	0.952
CS	DLST	0.951
CS	HADHB	0.951
CS	LDHA	0.949
CS	GLUD1	0.948
CS	SUCLG2	0.948
CS	ACAA2	0.946
CS	ACAA1	0.942
CS	OGDH	0.941
CS	PDHB	0.941
CS	LDHAL6B	0.94
CS	ATP5F1A	0.94
CS	LDHAL6A	0.94
CS	GLUD2	0.932
CS	L2HGDH	0.931
CS	ALDH5A1	0.93
CS	SUCLG1	0.929
CS	IDH3A	0.925
CS	ACACA	0.92
CS	ATP5F1B	0.917
CS	HMGCL	0.916
CS	DLD	0.911
CS	FASN	0.911
CS	PDHX	0.909
CS	GOT1	0.908
CS	ACACB	0.901
