preferredName_A	preferredName_B	score
LDHA	PKM	0.997
LDHA	PKLR	0.986
LDHA	LDHC	0.985
LDHA	ME2	0.982
LDHA	PC	0.978
LDHA	GPI	0.976
LDHA	ALDOA	0.973
LDHA	GOT1	0.972
LDHA	GOT2	0.972
LDHA	GOT1L1	0.969
LDHA	GAPDH	0.967
LDHA	H6PD	0.966
LDHA	G6PD	0.963
LDHA	PDHB	0.961
LDHA	ME1	0.958
LDHA	ME3	0.949
LDHA	CS	0.949
LDHA	LDHD	0.946
LDHA	PDHA2	0.939
LDHA	ALDOC	0.93
LDHA	BCKDHB	0.928
LDHA	TKT	0.925
LDHA	ENO1	0.924
LDHA	PGK1	0.923
LDHA	TALDO1	0.923
LDHA	BCKDHA	0.923
LDHA	MPST	0.919
LDHA	TPI1	0.913
LDHA	TST	0.913
LDHA	TSG101	0.913
LDHA	HIF1A	0.912
LDHA	TKTL1	0.911
LDHA	TKTL2	0.91
LDHA	ALDOB	0.906
LDHA	BCAT1	0.903
