uniprot_id	gene_id
F8VWS7	CNTN6
Q9P232	CNTN3
C9JMQ2	CNTN4
F8W6X9	SDK1
A0A087X0M8	CHL1
Q58EX2	SDK2
A0A087WZ85	ROBO1
A0A087WUI7	DSCAM
A0A7P0Z4R6	NFASC
E9PP71	DSCAML1
Q6WRI0	IGSF10
F8W703	ROBO2
Q8N0Z9	VSIG10
A0A804HL16	CDON
Q96DN7	BOC
A0A3B3ISS8	VCAM1
Q9NR99	MXRA5
H0YNQ1	IGDCC3
J3QKL2	DCC
Q9P2J2	IGSF9
B4DYV8	ROBO4
F8W122	PTPRQ
Q8TDY8	IGDCC4
O15394	NCAM2
A0A087WY63	HMCN2
Q9UPX0	IGSF9B
Q02246	CNTN2
O94779	CNTN5
F5H0K7	ROBO3
Q86VR7	VSIG10L
Q96ID5	IGSF21
Q12860	CNTN1
A0A087WWD4	NCAM1
Q59FP8	NEO1
C9JH43	NRCAM
H0YLT7	PRTG
