preferredName_A	preferredName_B	score
BECN1	VMP1	0.999
BECN1	RB1CC1	0.999
BECN1	RUBCN	0.999
BECN1	BCL2L1	0.999
BECN1	ULK1	0.999
BECN1	BCL2	0.999
BECN1	HMGB1	0.999
BECN1	PIK3R4	0.999
BECN1	AMBRA1	0.999
BECN1	NRBF2	0.999
BECN1	PIK3C3	0.999
BECN1	ATG14	0.999
BECN1	UVRAG	0.999
BECN1	MCL1	0.998
BECN1	ITPR1	0.998
BECN1	ULK2	0.997
BECN1	BIRC2	0.996
BECN1	PINK1	0.996
BECN1	SH3GLB1	0.995
BECN1	TRAF2	0.995
BECN1	BIRC3	0.995
BECN1	RAB5A	0.992
BECN1	GABARAPL2	0.992
BECN1	GABARAP	0.991
BECN1	ATG12	0.991
BECN1	ATG3	0.991
BECN1	MYD88	0.99
BECN1	PRKN	0.989
BECN1	ATXN3	0.989
BECN1	ATG101	0.988
BECN1	CGAS	0.988
BECN1	DAPK1	0.987
BECN1	ITPR3	0.987
BECN1	BCL2L2	0.987
BECN1	GABARAPL1	0.987
BECN1	BCL2L11	0.987
BECN1	ATG5	0.986
BECN1	NLRP4	0.986
BECN1	ATG13	0.986
BECN1	ATG7	0.983
BECN1	TRAF6	0.982
BECN1	HTT	0.979
BECN1	ATXN3L	0.978
BECN1	MAP1LC3B	0.972
BECN1	BECN2	0.972
BECN1	DAPK3	0.972
BECN1	DAPK2	0.972
BECN1	ATG16L1	0.965
BECN1	MAP1LC3A	0.964
BECN1	SLAMF1	0.963
