preferredName_A	preferredName_B	score
ICAM1	VCAM1	0.999
ICAM1	ITGAL	0.999
ICAM1	ITGB2	0.999
ICAM1	ITGAM	0.999
ICAM1	CD80	0.998
ICAM1	EZR	0.998
ICAM1	CD58	0.996
ICAM1	CD44	0.995
ICAM1	MUC1	0.993
ICAM1	CD2	0.992
ICAM1	ICAM2	0.992
ICAM1	SELPLG	0.991
ICAM1	MSN	0.991
ICAM1	ITGA4	0.986
ICAM1	CD86	0.985
ICAM1	ITGAX	0.982
ICAM1	CD28	0.977
ICAM1	SPN	0.977
ICAM1	CD99	0.976
ICAM1	CD40	0.972
ICAM1	CD4	0.969
ICAM1	ITGB1	0.967
ICAM1	ICAM3	0.964
ICAM1	PLCG2	0.952
ICAM1	SELE	0.949
ICAM1	IL6	0.947
ICAM1	AREG	0.947
ICAM1	TNF	0.944
ICAM1	CXCL8	0.943
ICAM1	PLCG1	0.943
ICAM1	ITGA2B	0.938
ICAM1	CAV1	0.934
ICAM1	SELP	0.932
ICAM1	KRAS	0.931
ICAM1	CCL2	0.928
ICAM1	SELL	0.927
ICAM1	HRAS	0.922
ICAM1	NRAS	0.916
ICAM1	CD55	0.916
ICAM1	CD9	0.912
ICAM1	IL1B	0.912
ICAM1	FN1	0.904
ICAM1	NFKB1	0.903
ICAM1	IFNG	0.902
