,assembly,n_uniprots,composition,crystal_id
0,1,1,Homo,4bkj
1,2,1,Homo,4bkj
0,1,1,Homo,5saz
0,1,1,Homo,6fin
0,1,1,Homo,5fdx
1,2,1,Homo,5fdx
0,1,1,Homo,6fex
0,1,1,Homo,6hp9
1,2,1,Homo,6hp9
0,1,1,Homo,6fil
0,1,1,Homo,5bvw
0,1,1,Homo,4ckr
0,1,1,Homo,5sax
0,1,1,Homo,5saw
0,1,1,Homo,6y23
1,2,1,Homo,6y23
2,3,1,Homo,6y23
0,1,1,Homo,5sav
0,1,1,Homo,5say
1,2,1,Homo,5say
0,1,5,Homo,4ag4
0,1,1,Homo,7be6
0,1,1,Homo,5sb1
0,1,1,Homo,5sb0
0,1,1,Homo,5sb2
0,1,1,Homo,3zos
1,2,1,Homo,3zos
0,1,1,Homo,5fdp
0,1,1,Homo,6fio
0,1,1,Homo,6bsd
0,1,1,Homo,5bvn
0,1,4,Homo,8pe9
0,1,2,Homo,6gwr
0,1,1,Homo,5bvk
0,1,1,Homo,6fiq
0,1,1,Homo,5sau
0,1,1,Homo,6few
0,1,1,Homo,6brj
0,1,1,Homo,5bvo
0,1,1,Homo,7feh
0,1,1,Homo,7bcm
1,2,1,Homo,7bcm
