Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_KPYM,0.82343,1.0,0.02041,1.0,0.48936,0.0101
KPYM_TIMP-2,0.82343,1.0,0.02041,1.0,0.48936,0.50505
MMP9_TIMP-2,0.79082,1.0,0.04082,1.0,0.50526,0.50505
TIMP-2_MMP9,0.79082,1.0,0.04082,1.0,0.50526,0.0303
PERM_TIMP-2,0.77343,1.0,0.04082,1.0,0.51042,0.50505
TIMP-2_PERM,0.77343,1.0,0.06122,1.0,0.51579,0.0101
TIMP-2_AGRIN,0.76177,1.0,0.04082,1.0,0.51042,0.0101
AGRIN_TIMP-2,0.76177,1.0,0.04082,1.0,0.51042,0.50505
ADIPOQ_KPYM,0.73381,1.0,0.02041,1.0,0.48936,0.15152
KPYM_ADIPOQ,0.73381,1.0,0.02041,1.0,0.48936,0.50505
MMP9_ADIPOQ,0.73299,0.97917,0.08163,0.8,0.51087,0.50505
ADIPOQ_MMP9,0.73299,1.0,0.04082,1.0,0.50526,0.26263
HSPB1_TIMP-2,0.72063,1.0,0.02041,1.0,0.48387,0.50505
TIMP-2_HSPB1,0.72063,1.0,0.02041,1.0,0.48387,0.0101
HSPB1_KPYM,0.68816,1.0,0.02,1.0,0.5,0.40404
KPYM_HSPB1,0.68816,1.0,0.02,1.0,0.5,0.50505
PERM_ADIPOQ,0.6768,1.0,0.02041,1.0,0.50515,0.50505
ADIPOQ_PERM,0.6768,1.0,0.02041,1.0,0.50515,0.12121
ADIPOQ_TIMP-2,0.64765,1.0,0.08163,1.0,0.52128,0.51515
TIMP-2_ADIPOQ,0.64765,1.0,0.02041,1.0,0.50515,0.11111
HSPB1_MMP9,0.6432,0,0,0,0,0.5
ADIPOQ_AGRIN,0.64015,1.0,0.04082,1.0,0.51042,0.33333
AGRIN_ADIPOQ,0.64015,0.97959,0.04082,0.66667,0.50526,0.50505
AGRIN_KPYM,0.63885,0.98077,0.02,0.5,0.51,0.31313
KPYM_AGRIN,0.63885,0.98077,0.02,0.5,0.51,0.50505
HSPB1_PERM,0.63451,0.98039,0.02,0.5,0.50505,0.43434
MMP9_PERM,0.60222,1.0,0.04,1.0,0.52941,0.50505
PERM_MMP9,0.60222,0,0,0,0,0.5
HSPB1_ADIPOQ,0.59048,0,0,0,0,0.5
ADIPOQ_HSPB1,0.59048,1.0,0.02041,1.0,0.48387,0.15152
MMP9_AGRIN,0.58148,0,0,0,0,0.5
AGRIN_MMP9,0.58148,1.0,0.02,1.0,0.52427,0.43434
HSPB1_AGRIN,0.57529,0,0,0,0,0.5
AGRIN_HSPB1,0.57529,0,0,0,0,0.5
PERM_KPYM,0.565,0.98077,0.02,0.5,0.51,0.38384
KPYM_PERM,0.565,0,0,0,0,0.5
PERM_AGRIN,0.53709,0.96364,0.08,0.66667,0.53535,0.50505
AGRIN_PERM,0.53709,1.0,0.02,1.0,0.52885,0.41414
MMP9_KPYM,0.50077,1.0,0.02,1.0,0.51485,0.32323
KPYM_MMP9,0.50077,0,0,0,0,0.5
PERM_HSPB1,0.36549,1.0,0.02,1.0,0.51,0.42424
MMP9_HSPB1,0.3568,1.0,0.02,1.0,0.50505,0.31313
