preferredName_A	preferredName_B	score
CYP1B1	GSTP1	0.973
CYP1B1	COMT	0.971
CYP1B1	EPHX1	0.966
CYP1B1	UGT1A6	0.966
CYP1B1	LRTOMT	0.966
CYP1B1	UGT1A1	0.963
CYP1B1	UGT1A8	0.963
CYP1B1	UGT1A7	0.963
CYP1B1	UGT1A4	0.963
CYP1B1	UGT1A10	0.963
CYP1B1	GSTM1	0.962
CYP1B1	HSD17B1	0.958
CYP1B1	HPGDS	0.954
CYP1B1	GSTA1	0.954
CYP1B1	GSTM2	0.947
CYP1B1	MYOC	0.944
CYP1B1	UGT1A9	0.944
CYP1B1	UGT2B7	0.944
CYP1B1	GSTM3	0.943
CYP1B1	UGT1A3	0.942
CYP1B1	HSD17B2	0.941
CYP1B1	UGT1A5	0.938
CYP1B1	UGT2B15	0.938
CYP1B1	IDO1	0.938
CYP1B1	AKR1C3	0.937
CYP1B1	CYP1A1	0.937
CYP1B1	GSTA2	0.936
CYP1B1	UGT2B4	0.936
CYP1B1	CYP1A2	0.936
CYP1B1	UGT2A2	0.935
CYP1B1	UGT2B17	0.934
CYP1B1	ASMT	0.933
CYP1B1	HSD17B8	0.933
CYP1B1	HSD17B7	0.932
CYP1B1	UGT2B10	0.932
CYP1B1	CYP2B6	0.932
CYP1B1	UGT2B11	0.932
CYP1B1	GSTT2B	0.931
CYP1B1	IDO2	0.931
CYP1B1	UGT2A3	0.931
CYP1B1	UGT2B28	0.931
CYP1B1	SULT2A1	0.93
CYP1B1	GSTA4	0.929
CYP1B1	GSTO1	0.929
CYP1B1	HSD17B12	0.928
CYP1B1	MGST1	0.925
CYP1B1	GSTO2	0.921
CYP1B1	GSTM5	0.92
CYP1B1	GSTA3	0.919
CYP1B1	GSTM4	0.917
