Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_AGRIN,KPYM_TIMP-2,0.86581,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,PERM_TIMP-2,0.86486,1.0,0.07143,1.0,0.41573,0.0101
TIMP-2_AGRIN,AGRIN_TIMP-2,0.86439,1.0,0.08772,1.0,0.41573,0.0101
TIMP-2_AGRIN,MMP9_TIMP-2,0.85586,1.0,0.03509,1.0,0.40217,0.0101
TIMP-2_AGRIN,,0.84949,1.0,0.01724,1.0,0.39362,0.0202
TIMP-2_AGRIN,PERM_MMP9,0.8478,1.0,0.05263,1.0,0.40659,0.0101
TIMP-2_KPYM,AGRIN_KPYM,0.84574,1.0,0.12069,1.0,0.42697,0.0101
TIMP-2_AGRIN,KPYM_AGRIN,0.84017,1.0,0.05172,1.0,0.40217,0.0101
TIMP-2_AGRIN,MMP9_PERM,0.83829,1.0,0.01786,1.0,0.3956,0.0101
TIMP-2_AGRIN,PERM_AGRIN,0.83357,1.0,0.01754,1.0,0.39785,0.0101
TIMP-2_AGRIN,MMP9_KPYM,0.83131,1.0,0.01724,1.0,0.39362,0.0101
TIMP-2_AGRIN,MMP9_AGRIN,0.82992,1.0,0.01724,1.0,0.39362,0.0101
TIMP-2_PERM,AGRIN_PERM,0.82915,0.97297,0.03571,0.66667,0.4,0.0101
TIMP-2_KPYM,PERM_TIMP-2,0.82707,1.0,0.07143,1.0,0.42222,0.0101
TIMP-2_AGRIN,KPYM_PERM,0.82688,1.0,0.03571,1.0,0.4,0.0101
TIMP-2_KPYM,AGRIN_TIMP-2,0.82641,1.0,0.05263,1.0,0.41304,0.0101
TIMP-2_AGRIN,AGRIN_PERM,0.82242,1.0,0.01786,1.0,0.3956,0.0101
TIMP-2_AGRIN,PERM_KPYM,0.82219,1.0,0.01754,1.0,0.39785,0.0101
TIMP-2_KPYM,MMP9_KPYM,0.82033,1.0,0.05172,1.0,0.4086,0.0101
TIMP-2_PERM,KPYM_PERM,0.81998,0.97297,0.07143,0.8,0.40909,0.0101
TIMP-2_KPYM,MMP9_TIMP-2,0.81533,1.0,0.05263,1.0,0.41304,0.0101
TIMP-2_KPYM,PERM_KPYM,0.81487,1.0,0.03509,1.0,0.4086,0.0101
TIMP-2_AGRIN,KPYM_MMP9,0.81407,1.0,0.06897,1.0,0.40659,0.0101
TIMP-2_AGRIN,AGRIN_KPYM,0.81314,1.0,0.01724,1.0,0.39362,0.0101
TIMP-2_PERM,KPYM_TIMP-2,0.8113,0.97297,0.03636,0.66667,0.40449,0.0101
TIMP-2_PERM,AGRIN_TIMP-2,0.8113,0.97297,0.03636,0.66667,0.40449,0.0101
TIMP-2_AGRIN,AGRIN_MMP9,0.80009,1.0,0.06897,1.0,0.40659,0.0101
TIMP-2_KPYM,MMP9_PERM,0.79971,1.0,0.03571,1.0,0.40659,0.0202
TIMP-2_KPYM,PERM_MMP9,0.79271,1.0,0.05263,1.0,0.41304,0.0101
TIMP-2_KPYM,KPYM_TIMP-2,0.79224,1.0,0.05263,1.0,0.41304,0.0101
TIMP-2_KPYM,AGRIN_PERM,0.78909,1.0,0.01786,1.0,0.40217,0.0101
TIMP-2_PERM,KPYM_MMP9,0.78716,0.97297,0.03571,0.66667,0.4,0.0101
TIMP-2_MMP9,AGRIN_MMP9,0.78448,1.0,0.01724,1.0,0.4,0.0303
TIMP-2_KPYM,KPYM_PERM,0.77992,1.0,0.01786,1.0,0.40217,0.0101
TIMP-2_KPYM,,0.77858,1.0,0.01724,1.0,0.4,0.0202
TIMP-2_PERM,AGRIN_MMP9,0.77799,0.97297,0.03571,0.66667,0.4,0.0101
TIMP-2_KPYM,PERM_AGRIN,0.7762,1.0,0.03509,1.0,0.40217,0.0101
TIMP-2_PERM,PERM_AGRIN,0.77579,1.0,0.01786,1.0,0.3956,0.0202
TIMP-2_PERM,MMP9_AGRIN,0.77232,1.0,0.01786,1.0,0.3956,0.0202
TIMP-2_PERM,MMP9_TIMP-2,0.76216,0.97297,0.01818,0.5,0.4,0.0101
TIMP-2_KPYM,KPYM_AGRIN,0.75909,1.0,0.03448,1.0,0.39785,0.0101
TIMP-2_KPYM,AGRIN_MMP9,0.75907,1.0,0.03448,1.0,0.40426,0.0101
TIMP-2_KPYM,MMP9_AGRIN,0.75676,1.0,0.03448,1.0,0.39785,0.0101
TIMP-2_PERM,PERM_TIMP-2,0.75627,0.97297,0.03636,0.66667,0.40449,0.0101
TIMP-2_KPYM,KPYM_MMP9,0.75454,1.0,0.03448,1.0,0.40426,0.0101
TIMP-2_MMP9,AGRIN_TIMP-2,0.75346,0.97368,0.01754,0.5,0.39785,0.08081
TIMP-2_PERM,PERM_KPYM,0.75338,0.97297,0.01786,0.5,0.3956,0.0202
TIMP-2_MMP9,KPYM_MMP9,0.75136,1.0,0.01724,1.0,0.4,0.06061
TIMP-2_PERM,MMP9_PERM,0.74759,1.0,0.01786,1.0,0.40217,0.0101
TIMP-2_PERM,,0.74276,1.0,0.01786,1.0,0.40217,0.0101
TIMP-2_PERM,AGRIN_KPYM,0.74276,1.0,0.01786,1.0,0.40217,0.0101
TIMP-2_MMP9,KPYM_TIMP-2,0.74238,0.97368,0.01754,0.5,0.39785,0.08081
TIMP-2_PERM,MMP9_KPYM,0.74131,0.97297,0.01786,0.5,0.3956,0.0202
TIMP-2_PERM,KPYM_AGRIN,0.74008,1.0,0.01786,1.0,0.3956,0.0101
MMP9_PERM,AGRIN_TIMP-2,0.73514,1.0,0.01818,1.0,0.40659,0.0101
TIMP-2_PERM,PERM_MMP9,0.73118,1.0,0.01786,1.0,0.40217,0.0101
MMP9_PERM,KPYM_TIMP-2,0.72924,1.0,0.01818,1.0,0.40659,0.0101
TIMP-2_MMP9,MMP9_AGRIN,0.71948,0.97297,0.01724,0.5,0.3871,0.17172
TIMP-2_MMP9,KPYM_PERM,0.71863,1.0,0.01786,1.0,0.40217,0.07071
TIMP-2_MMP9,PERM_TIMP-2,0.71852,0,0,0,0,0.5
MMP9_TIMP-2,,0.71422,0.97368,0.01754,0.5,0.39785,0.50505
TIMP-2_MMP9,MMP9_TIMP-2,0.71422,0.97368,0.01754,0.5,0.39785,0.12121
TIMP-2_MMP9,MMP9_PERM,0.71332,0.97297,0.03571,0.66667,0.4,0.17172
TIMP-2_MMP9,AGRIN_PERM,0.70994,0.97297,0.01786,0.5,0.3956,0.12121
TIMP-2_MMP9,PERM_MMP9,0.70637,0,0,0,0,0.5
MMP9_TIMP-2,PERM_AGRIN,0.70367,1.0,0.01786,1.0,0.40217,0.0202
TIMP-2_MMP9,,0.70191,0.97368,0.01724,0.5,0.39362,0.16162
TIMP-2_MMP9,PERM_AGRIN,0.69891,0.97297,0.01754,0.5,0.3913,0.16162
TIMP-2_MMP9,MMP9_KPYM,0.69691,0.97368,0.01724,0.5,0.39362,0.16162
MMP9_AGRIN,PERM_TIMP-2,0.69691,1.0,0.01786,1.0,0.40217,0.10101
KPYM_TIMP-2,AGRIN_PERM,0.69681,1.0,0.01818,1.0,0.40659,0.09091
TIMP-2_MMP9,PERM_KPYM,0.69437,0.97368,0.01754,0.5,0.39785,0.16162
MMP9_TIMP-2,PERM_KPYM,0.69126,0.97368,0.01786,0.5,0.40217,0.16162
TIMP-2_MMP9,KPYM_AGRIN,0.68267,0.97297,0.01724,0.5,0.3871,0.13131
TIMP-2_MMP9,AGRIN_KPYM,0.68194,0.97368,0.03448,0.66667,0.39785,0.16162
AGRIN_TIMP-2,PERM_MMP9,0.67951,1.0,0.01786,1.0,0.4086,0.10101
KPYM_AGRIN,AGRIN_TIMP-2,0.67899,1.0,0.01754,1.0,0.39785,0.06061
MMP9_PERM,PERM_TIMP-2,0.67813,1.0,0.01818,1.0,0.40659,0.0202
MMP9_TIMP-2,AGRIN_PERM,0.66339,1.0,0.01818,1.0,0.40659,0.16162
KPYM_TIMP-2,PERM_MMP9,0.65085,1.0,0.01786,1.0,0.4086,0.20202
AGRIN_KPYM,PERM_TIMP-2,0.63957,0.97368,0.01786,0.5,0.40217,0.24242
MMP9_TIMP-2,AGRIN_KPYM,0.63804,0.97368,0.03509,0.66667,0.40217,0.21212
MMP9_TIMP-2,PERM_MMP9,0.63675,0.97368,0.01786,0.5,0.40217,0.23232
KPYM_PERM,AGRIN_TIMP-2,0.63636,0.97297,0.01818,0.5,0.4,0.16162
MMP9_KPYM,PERM_TIMP-2,0.63628,1.0,0.01786,1.0,0.4086,0.33333
KPYM_TIMP-2,AGRIN_MMP9,0.63389,1.0,0.01754,1.0,0.40426,0.17172
KPYM_TIMP-2,AGRIN_KPYM,0.62973,0.97368,0.03509,0.66667,0.40217,0.28283
MMP9_TIMP-2,KPYM_AGRIN,0.62873,1.0,0.01754,1.0,0.39785,0.08081
MMP9_AGRIN,AGRIN_TIMP-2,0.62779,1.0,0.01754,1.0,0.39785,0.10101
AGRIN_TIMP-2,PERM_KPYM,0.62735,1.0,0.01786,1.0,0.4086,0.23232
KPYM_MMP9,AGRIN_TIMP-2,0.6265,0.97368,0.03509,0.66667,0.40217,0.22222
AGRIN_PERM,PERM_TIMP-2,0.62604,1.0,0.01818,1.0,0.40659,0.16162
MMP9_TIMP-2,AGRIN_MMP9,0.62465,0.97368,0.01754,0.5,0.39785,0.25253
MMP9_TIMP-2,KPYM_PERM,0.62064,0.97297,0.01818,0.5,0.4,0.20202
MMP9_PERM,PERM_AGRIN,0.61865,1.0,0.01754,1.0,0.40426,0.06061
KPYM_TIMP-2,PERM_KPYM,0.61701,0,0,0,0,0.5
AGRIN_TIMP-2,PERM_AGRIN,0.61535,1.0,0.01786,1.0,0.40217,0.07071
MMP9_PERM,KPYM_AGRIN,0.61404,1.0,0.01754,1.0,0.40426,0.0404
MMP9_PERM,KPYM_MMP9,0.61269,1.0,0.01754,1.0,0.41053,0.0404
MMP9_PERM,KPYM_PERM,0.61269,1.0,0.01754,1.0,0.41053,0.0404
MMP9_PERM,AGRIN_PERM,0.61269,1.0,0.01754,1.0,0.41053,0.06061
MMP9_PERM,AGRIN_MMP9,0.61044,1.0,0.01754,1.0,0.41053,0.05051
KPYM_TIMP-2,PERM_AGRIN,0.61004,1.0,0.01786,1.0,0.40217,0.11111
MMP9_PERM,PERM_KPYM,0.60639,1.0,0.01754,1.0,0.41053,0.06061
MMP9_PERM,AGRIN_KPYM,0.60414,1.0,0.01754,1.0,0.41053,0.06061
MMP9_PERM,,0.60369,1.0,0.01754,1.0,0.41053,0.06061
MMP9_PERM,PERM_MMP9,0.60369,1.0,0.01754,1.0,0.41053,0.05051
AGRIN_MMP9,PERM_TIMP-2,0.60244,0,0,0,0,0.5
MMP9_KPYM,AGRIN_TIMP-2,0.60203,0.97368,0.03509,0.66667,0.40217,0.37374
KPYM_AGRIN,PERM_TIMP-2,0.60135,1.0,0.01786,1.0,0.40217,0.16162
MMP9_TIMP-2,KPYM_MMP9,0.60065,0,0,0,0,0.5
