preferredName_A	preferredName_B	score
PTGS1	PTGIS	0.973
PTGS1	PTGES	0.973
PTGS1	ALOX5	0.97
PTGS1	PTGES2	0.962
PTGS1	ALOX15	0.96
PTGS1	ALOX12	0.96
PTGS1	PTGES3	0.956
PTGS1	PTGDS	0.949
PTGS1	HPGDS	0.946
PTGS1	PTGS2	0.946
PTGS1	ALOX15B	0.939
PTGS1	CYP2C9	0.936
PTGS1	CYP2C19	0.935
PTGS1	CYP2E1	0.921
PTGS1	ALOX12B	0.92
PTGS1	CYP2C8	0.92
PTGS1	CYP2B6	0.918
PTGS1	CYP4A11	0.915
PTGS1	PLA2G4A	0.914
PTGS1	CYP4F2	0.914
PTGS1	CYP4F3	0.913
PTGS1	CYP2J2	0.912
PTGS1	CYP4F8	0.909
PTGS1	CYP4A22	0.904
PTGS1	CYP2U1	0.902
