uniprot_id	gene_id
H0YI78	KIF21A
Q2KJY2	KIF26B
Q8NI77	KIF18A
Q2VIQ3	KIF4B
A0A3B3IU40	KIF1A
Q9P2E2	KIF17
Q9NQT8	KIF13B
O43896	KIF1C
V9HW29	HEL-S-61
D6R9E4	KIF20A
Q2MDE8	KIF6
Q9ULI4	KIF26A
C9JWZ7	KIF9
O75037	KIF21B
Q9UIL4	KIF25
H7C2F6	KIF3A
A0A8Q3SIT2	KIF1B
A0A1B0GTU3	KIF16B
D6RCT7	KIF15
A0A6Q8PGN1	KIF5A
O95239	KIF4A
F8WD21	KIF7
Q8N4N8	KIF2B
A2AB20	KIFC1
Q5T7B8	KIF24
Q99661	KIF2C
Q15058	KIF14
A0A0G2JMZ6	KIF5C
O15066	KIF3B
F8WAR6	KIF3C
A0A2R8Y531	KIF23
Q2TAC6	KIF19
Q86Y91	KIF18B
A0A2R8Y870	KIFC2
H3BTL6	KIFC3
A0A1W2PPS5	KIF12
Q86VH2	KIF27
P52732	KIF11
A0A1B0GUA8	KIF13A
A0A6Q8PH57	KIF2A
A0A8I5QJC5	KIF22
