preferredName_A	preferredName_B	score
CENPE	BUB1B	0.999
CENPE	CENPF	0.999
CENPE	NUF2	0.996
CENPE	CENPA	0.993
CENPE	BUB1	0.991
CENPE	PRC1	0.99
CENPE	CDC20	0.989
CENPE	KIF11	0.988
CENPE	KIF2C	0.988
CENPE	KIF18A	0.985
CENPE	ASPM	0.981
CENPE	NDC80	0.979
CENPE	PLK1	0.977
CENPE	AURKB	0.975
CENPE	CDK1	0.973
CENPE	KIF23	0.969
CENPE	TTK	0.968
CENPE	KIF20A	0.967
CENPE	CCNB1	0.967
CENPE	BIRC5	0.963
CENPE	DLGAP5	0.957
CENPE	KIF4A	0.957
CENPE	CDCA8	0.956
CENPE	KIF20B	0.95
CENPE	MAD2L1	0.942
CENPE	CCNB2	0.942
CENPE	CEP55	0.936
CENPE	BUB3	0.935
CENPE	KIF15	0.932
CENPE	NUSAP1	0.929
CENPE	TOP2A	0.926
CENPE	HMMR	0.926
CENPE	MKI67	0.921
CENPE	NCAPG	0.92
CENPE	CCNA2	0.917
CENPE	HJURP	0.914
CENPE	CENPC	0.913
CENPE	CENPH	0.906
CENPE	ESPL1	0.905
CENPE	CENPB	0.901
