Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP-2_AGRIN,0.83865,1.0,0.03571,1.0,0.50909,0.0101
AGRIN_TIMP-2,0.83865,1.0,0.03571,1.0,0.50909,0.51515
KPYM_TIMP-2,0.78344,1.0,0.05357,1.0,0.50926,0.50505
MMP9_TIMP-2,0.78029,1.0,0.05357,1.0,0.51376,0.50505
TIMP-2_MMP9,0.77216,1.0,0.01852,1.0,0.51376,0.0101
TIMP-2_KPYM,0.77118,1.0,0.01887,1.0,0.51402,0.0101
PERM_TIMP-2,0.75529,1.0,0.07143,1.0,0.50943,0.51515
TIMP-2_PERM,0.75529,1.0,0.05357,1.0,0.50467,0.0101
MMP9_PIGR,0.71678,0,0,0,0,0.5
ADIPOQ_AGRIN,0.71174,1.0,0.01852,1.0,0.5,0.29293
AGRIN_ADIPOQ,0.71174,0.98113,0.03704,0.66667,0.5,0.51515
PIGR_MMP9,0.70473,1.0,0.02128,1.0,0.51579,0.29293
HSPB1_TIMP-2,0.70032,1.0,0.05455,1.0,0.51852,0.50505
TIMP-2_HSPB1,0.68902,1.0,0.01887,1.0,0.51852,0.0101
MMP9_ADIPOQ,0.68658,1.0,0.12963,1.0,0.53,0.50505
ADIPOQ_TIMP-2,0.68376,0.98077,0.09259,0.83333,0.51,0.51515
TIMP-2_ADIPOQ,0.68376,0.98077,0.01852,0.5,0.49038,0.20202
KPYM_ADIPOQ,0.68127,1.0,0.07407,1.0,0.5098,0.50505
PERM_PIGR,0.67607,0,0,0,0,0.5
PIGR_PERM,0.67607,1.0,0.02041,1.0,0.49474,0.22222
ADIPOQ_MMP9,0.67453,1.0,0.01923,1.0,0.50962,0.23232
AGRIN_PIGR,0.67097,0,0,0,0,0.5
PIGR_AGRIN,0.67097,0.97959,0.02041,0.5,0.5,0.33333
PERM_ADIPOQ,0.66267,0.98039,0.05556,0.75,0.49505,0.50505
ADIPOQ_PERM,0.66267,1.0,0.01852,1.0,0.49038,0.21212
ADIPOQ_KPYM,0.66252,1.0,0.01961,1.0,0.5098,0.29293
AGRIN_HSPB1,0.65029,0,0,0,0,0.5
KPYM_PIGR,0.64541,0,0,0,0,0.5
PIGR_KPYM,0.63032,1.0,0.02128,1.0,0.51064,0.28283
HSPB1_AGRIN,0.62825,0,0,0,0,0.5
HSPB1_PIGR,0.60884,0.97959,0.10417,0.83333,0.52747,0.50505
HSPB1_MMP9,0.59415,0.96667,0.12281,0.77778,0.53704,0.48485
PIGR_HSPB1,0.59184,1.0,0.02174,1.0,0.52128,0.21212
KPYM_HSPB1,0.57865,0,0,0,0,0.5
HSPB1_ADIPOQ,0.57351,1.0,0.07547,1.0,0.51961,0.50505
HSPB1_PERM,0.56254,0,0,0,0,0.5
ADIPOQ_HSPB1,0.55679,1.0,0.01961,1.0,0.51456,0.15152
AGRIN_KPYM,0.53643,0,0,0,0,0.5
MMP9_KPYM,0.53553,0,0,0,0,0.5
ADIPOQ_PIGR,0.52431,0,0,0,0,0.5
PIGR_ADIPOQ,0.52431,0.97727,0.04651,0.66667,0.5119,0.47475
PERM_MMP9,0.52408,1.0,0.01724,1.0,0.50435,0.45455
AGRIN_MMP9,0.51236,1.0,0.01724,1.0,0.51282,0.48485
KPYM_AGRIN,0.5096,0,0,0,0,0.5
KPYM_MMP9,0.50818,0,0,0,0,0.5
AGRIN_PERM,0.50172,0,0,0,0,0.5
PERM_AGRIN,0.49828,1.0,0.03333,1.0,0.5,0.44444
PERM_KPYM,0.498,0.96491,0.05263,0.6,0.50459,0.48485
TIMP-2_PIGR,0.49324,1.0,0.02222,1.0,0.51111,0.42424
PIGR_TIMP-2,0.49324,0,0,0,0,0.5
KPYM_PERM,0.4769,1.0,0.01667,1.0,0.49138,0.46465
MMP9_AGRIN,0.47139,1.0,0.01667,1.0,0.5042,0.44444
HSPB1_KPYM,0.46459,0,0,0,0,0.5
MMP9_PERM,0.46006,1.0,0.01667,1.0,0.49573,0.43434
PERM_HSPB1,0.41773,1.0,0.01754,1.0,0.50877,0.35354
MMP9_HSPB1,0.37076,1.0,0.01754,1.0,0.51724,0.08081
