preferredName_A	preferredName_B	score
UBE2C	CDC20	0.999
UBE2C	ANAPC11	0.999
UBE2C	ANAPC2	0.998
UBE2C	CCNA2	0.994
UBE2C	ANAPC10	0.993
UBE2C	CDC27	0.993
UBE2C	ANAPC4	0.993
UBE2C	ANAPC15	0.992
UBE2C	CDC16	0.992
UBE2C	BIRC5	0.992
UBE2C	FZR1	0.991
UBE2C	BUB1B	0.991
UBE2C	CDC23	0.991
UBE2C	ANAPC5	0.99
UBE2C	CCNB1	0.99
UBE2C	ANAPC13	0.987
UBE2C	CDC26	0.987
UBE2C	ANAPC16	0.987
UBE2C	ANAPC1	0.986
UBE2C	AURKA	0.986
UBE2C	UBE2S	0.985
UBE2C	ANAPC7	0.983
UBE2C	CDK1	0.982
UBE2C	PTTG1	0.98
UBE2C	TOP2A	0.973
UBE2C	UBA1	0.971
UBE2C	CCNB2	0.968
UBE2C	DLGAP5	0.968
UBE2C	CDCA8	0.966
UBE2C	TPX2	0.965
UBE2C	NUSAP1	0.964
UBE2C	CDCA3	0.962
UBE2C	KIF20A	0.961
UBE2C	AURKB	0.955
UBE2C	UBE3D	0.954
UBE2C	BUB1	0.954
UBE2C	KIF2C	0.954
UBE2C	BRCA1	0.951
UBE2C	MELK	0.948
UBE2C	PBK	0.946
UBE2C	ASPM	0.943
UBE2C	UBC	0.942
UBE2C	CENPF	0.94
UBE2C	CENPA	0.938
UBE2C	CCNA1	0.938
UBE2C	PCLAF	0.938
UBE2C	CEP55	0.938
UBE2C	BARD1	0.936
UBE2C	RRM2	0.931
UBE2C	MAD2L1	0.929
