preferredName_A	preferredName_B	score
CCNB1	ESPL1	0.999
CCNB1	CKS2	0.999
CCNB1	ANAPC4	0.999
CCNB1	CDC20	0.999
CCNB1	PLK1	0.999
CCNB1	CDK2	0.999
CCNB1	CDK1	0.999
CCNB1	CDC27	0.999
CCNB1	ANAPC10	0.999
CCNB1	CCNB2	0.998
CCNB1	CKS1B	0.998
CCNB1	BUB1B	0.998
CCNB1	FZR1	0.998
CCNB1	CDC25A	0.995
CCNB1	CCNA2	0.995
CCNB1	BIRC5	0.993
CCNB1	BUB1	0.992
CCNB1	CDC25C	0.991
CCNB1	WEE1	0.99
CCNB1	UBE2C	0.99
CCNB1	TOP2A	0.989
CCNB1	CENPF	0.988
CCNB1	FOXM1	0.988
CCNB1	MAD2L1	0.988
CCNB1	CDCA8	0.987
CCNB1	GADD45G	0.986
CCNB1	PTTG1	0.984
CCNB1	GADD45A	0.983
CCNB1	NDC80	0.981
CCNB1	AURKA	0.979
CCNB1	CDKN1A	0.977
CCNB1	CDC16	0.975
CCNB1	H2AX	0.974
CCNB1	CDC23	0.974
CCNB1	MELK	0.972
CCNB1	CDKN1B	0.972
CCNB1	GADD45B	0.97
CCNB1	PKMYT1	0.97
CCNB1	NUF2	0.967
CCNB1	CENPE	0.967
CCNB1	KIF2C	0.966
CCNB1	KIF11	0.966
CCNB1	SFN	0.965
CCNB1	DLGAP5	0.965
CCNB1	PTCH1	0.964
CCNB1	AURKB	0.962
CCNB1	PBK	0.962
CCNB1	NCAPG	0.962
CCNB1	KIF20A	0.954
CCNB1	CENPA	0.953
