Biomarker_1,Biomarker_2,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
Endometrial_thickness,TIMP2_KPYM,0.95747,0.13131,0.98077,0.65385,0.97143,0.73913,0.29293,0.96154,0.82692,0.95556,0.84746,0.41414,0.90385,0.92308,0.90566,0.92157
Endometrial_thickness,KPYM_TIMP2,0.95747,0.13131,0.98077,0.65385,0.97143,0.73913,0.29293,0.96154,0.82692,0.95556,0.84746,0.41414,0.90385,0.92308,0.90566,0.92157
Endometrial_thickness,AGRIN_TIMP2,0.95414,0.17172,0.98077,0.71154,0.97368,0.77273,0.19192,0.96154,0.73077,0.95000,0.78125,0.37374,0.90385,0.90385,0.90385,0.90385
Endometrial_thickness,TIMP2_AGRIN,0.95414,0.17172,0.98077,0.71154,0.97368,0.77273,0.19192,0.96154,0.73077,0.95000,0.78125,0.37374,0.90385,0.90385,0.90385,0.90385
AGRIN_NGAL,TIMP2_PERM,0.94811,0.21212,0.98077,0.77358,0.97619,0.80952,0.25253,0.96154,0.79245,0.95455,0.81967,0.21212,0.98077,0.77358,0.97619,0.80952
AGRIN_NGAL,PERM_TIMP2,0.94811,0.21212,0.98077,0.77358,0.97619,0.80952,0.25253,0.96154,0.79245,0.95455,0.81967,0.21212,0.98077,0.77358,0.97619,0.80952
TIMP2_PERM,NGAL_AGRIN,0.94811,0.21212,0.98077,0.77358,0.97619,0.80952,0.25253,0.96154,0.79245,0.95455,0.81967,0.21212,0.98077,0.77358,0.97619,0.80952
PERM_TIMP2,NGAL_AGRIN,0.94811,0.21212,0.98077,0.77358,0.97619,0.80952,0.25253,0.96154,0.79245,0.95455,0.81967,0.21212,0.98077,0.77358,0.97619,0.80952
AGRIN_TIMP2,PERM_NGAL,0.94775,0.21212,0.98077,0.75472,0.97561,0.79688,0.22222,0.96154,0.77358,0.95349,0.80645,0.21212,0.98077,0.75472,0.97561,0.79688
AGRIN_TIMP2,NGAL_PERM,0.94775,0.21212,0.98077,0.75472,0.97561,0.79688,0.22222,0.96154,0.77358,0.95349,0.80645,0.21212,0.98077,0.75472,0.97561,0.79688
TIMP2_AGRIN,PERM_NGAL,0.94775,0.21212,0.98077,0.75472,0.97561,0.79688,0.22222,0.96154,0.77358,0.95349,0.80645,0.21212,0.98077,0.75472,0.97561,0.79688
TIMP2_AGRIN,NGAL_PERM,0.94775,0.21212,0.98077,0.75472,0.97561,0.79688,0.22222,0.96154,0.77358,0.95349,0.80645,0.21212,0.98077,0.75472,0.97561,0.79688
Endometrial_thickness,MMP9_TIMP2,0.94453,0.13131,0.98077,0.61538,0.96970,0.71831,0.20202,0.96154,0.78846,0.95349,0.81967,0.57576,0.88462,0.94231,0.89091,0.93878
Endometrial_thickness,TIMP2_MMP9,0.94453,0.13131,0.98077,0.61538,0.96970,0.71831,0.20202,0.96154,0.78846,0.95349,0.81967,0.57576,0.88462,0.94231,0.89091,0.93878
TIMP2_KPYM,PERM_PIGR,0.94412,0.13131,0.98077,0.58491,0.96875,0.69863,0.13131,0.98077,0.58491,0.96875,0.69863,0.54545,0.84615,0.92453,0.85965,0.91667
TIMP2_KPYM,PIGR_PERM,0.94412,0.13131,0.98077,0.58491,0.96875,0.69863,0.13131,0.98077,0.58491,0.96875,0.69863,0.54545,0.84615,0.92453,0.85965,0.91667
KPYM_TIMP2,PERM_PIGR,0.94412,0.13131,0.98077,0.58491,0.96875,0.69863,0.13131,0.98077,0.58491,0.96875,0.69863,0.54545,0.84615,0.92453,0.85965,0.91667
KPYM_TIMP2,PIGR_PERM,0.94412,0.13131,0.98077,0.58491,0.96875,0.69863,0.13131,0.98077,0.58491,0.96875,0.69863,0.54545,0.84615,0.92453,0.85965,0.91667
Endometrial_thickness,TIMP2_MVP,0.94379,0.18182,0.98077,0.63462,0.97059,0.72857,0.29293,0.96154,0.82692,0.95556,0.84746,0.50505,0.86538,0.92308,0.87273,0.91837
Endometrial_thickness,MVP_TIMP2,0.94379,0.18182,0.98077,0.63462,0.97059,0.72857,0.29293,0.96154,0.82692,0.95556,0.84746,0.50505,0.86538,0.92308,0.87273,0.91837
AGRIN_TIMP2,MMP9_NGAL,0.94376,0.20202,0.98077,0.69811,0.97368,0.76119,0.26263,0.96154,0.79245,0.95455,0.81967,0.26263,0.96154,0.79245,0.95455,0.81967
AGRIN_TIMP2,NGAL_MMP9,0.94376,0.20202,0.98077,0.69811,0.97368,0.76119,0.26263,0.96154,0.79245,0.95455,0.81967,0.26263,0.96154,0.79245,0.95455,0.81967
MMP9_NGAL,TIMP2_AGRIN,0.94376,0.20202,0.98077,0.69811,0.97368,0.76119,0.26263,0.96154,0.79245,0.95455,0.81967,0.26263,0.96154,0.79245,0.95455,0.81967
TIMP2_AGRIN,NGAL_MMP9,0.94376,0.20202,0.98077,0.69811,0.97368,0.76119,0.26263,0.96154,0.79245,0.95455,0.81967,0.26263,0.96154,0.79245,0.95455,0.81967
AGRIN_NGAL,MMP9_TIMP2,0.94267,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952
AGRIN_NGAL,TIMP2_MMP9,0.94267,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952
MMP9_TIMP2,NGAL_AGRIN,0.94267,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952
TIMP2_MMP9,NGAL_AGRIN,0.94267,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952,0.23232,0.98077,0.77358,0.97619,0.80952
MMP9_TIMP2,KPYM_NGAL,0.94158,0.20202,0.98077,0.71698,0.97436,0.77273,0.20202,0.98077,0.71698,0.97436,0.77273,0.44444,0.90385,0.86792,0.90196,0.87037
MMP9_TIMP2,NGAL_KPYM,0.94158,0.20202,0.98077,0.71698,0.97436,0.77273,0.20202,0.98077,0.71698,0.97436,0.77273,0.44444,0.90385,0.86792,0.90196,0.87037
TIMP2_MMP9,KPYM_NGAL,0.94158,0.20202,0.98077,0.71698,0.97436,0.77273,0.20202,0.98077,0.71698,0.97436,0.77273,0.44444,0.90385,0.86792,0.90196,0.87037
TIMP2_MMP9,NGAL_KPYM,0.94158,0.20202,0.98077,0.71698,0.97436,0.77273,0.20202,0.98077,0.71698,0.97436,0.77273,0.44444,0.90385,0.86792,0.90196,0.87037
TIMP2_PERM,KPYM_NGAL,0.93977,0.18182,0.98077,0.67925,0.97297,0.75000,0.20202,0.96154,0.69811,0.94872,0.75758,0.45455,0.90385,0.84906,0.90000,0.85455
TIMP2_PERM,NGAL_KPYM,0.93977,0.18182,0.98077,0.67925,0.97297,0.75000,0.20202,0.96154,0.69811,0.94872,0.75758,0.45455,0.90385,0.84906,0.90000,0.85455
KPYM_NGAL,PERM_TIMP2,0.93977,0.18182,0.98077,0.67925,0.97297,0.75000,0.20202,0.96154,0.69811,0.94872,0.75758,0.45455,0.90385,0.84906,0.90000,0.85455
PERM_TIMP2,NGAL_KPYM,0.93977,0.18182,0.98077,0.67925,0.97297,0.75000,0.20202,0.96154,0.69811,0.94872,0.75758,0.45455,0.90385,0.84906,0.90000,0.85455
AGRIN_TIMP2,MMP9_PIGR,0.93868,0.16162,0.98077,0.58491,0.96875,0.69863,0.19192,0.96154,0.66038,0.94595,0.73529,0.28283,0.94231,0.81132,0.93478,0.83051
AGRIN_TIMP2,PIGR_MMP9,0.93868,0.16162,0.98077,0.58491,0.96875,0.69863,0.19192,0.96154,0.66038,0.94595,0.73529,0.28283,0.94231,0.81132,0.93478,0.83051
MMP9_PIGR,TIMP2_AGRIN,0.93868,0.16162,0.98077,0.58491,0.96875,0.69863,0.19192,0.96154,0.66038,0.94595,0.73529,0.28283,0.94231,0.81132,0.93478,0.83051
MMP9_PIGR,TIMP2_KPYM,0.93868,0.07071,0.98077,0.47170,0.96154,0.64557,0.15152,0.96154,0.62264,0.94286,0.71429,0.49495,0.84615,0.90566,0.85714,0.89796
MMP9_PIGR,KPYM_TIMP2,0.93868,0.07071,0.98077,0.47170,0.96154,0.64557,0.15152,0.96154,0.62264,0.94286,0.71429,0.49495,0.84615,0.90566,0.85714,0.89796
TIMP2_AGRIN,PIGR_MMP9,0.93868,0.16162,0.98077,0.58491,0.96875,0.69863,0.19192,0.96154,0.66038,0.94595,0.73529,0.28283,0.94231,0.81132,0.93478,0.83051
TIMP2_KPYM,PIGR_MMP9,0.93868,0.07071,0.98077,0.47170,0.96154,0.64557,0.15152,0.96154,0.62264,0.94286,0.71429,0.49495,0.84615,0.90566,0.85714,0.89796
KPYM_TIMP2,PIGR_MMP9,0.93868,0.07071,0.98077,0.47170,0.96154,0.64557,0.15152,0.96154,0.62264,0.94286,0.71429,0.49495,0.84615,0.90566,0.85714,0.89796
AGRIN_TIMP2,PERM_PIGR,0.93795,0.13131,0.98077,0.56604,0.96774,0.68919,0.17172,0.96154,0.60377,0.94118,0.70423,0.30303,0.90385,0.83019,0.89796,0.83929
AGRIN_TIMP2,PIGR_PERM,0.93795,0.13131,0.98077,0.56604,0.96774,0.68919,0.17172,0.96154,0.60377,0.94118,0.70423,0.30303,0.90385,0.83019,0.89796,0.83929
TIMP2_AGRIN,PERM_PIGR,0.93795,0.13131,0.98077,0.56604,0.96774,0.68919,0.17172,0.96154,0.60377,0.94118,0.70423,0.30303,0.90385,0.83019,0.89796,0.83929
TIMP2_AGRIN,PIGR_PERM,0.93795,0.13131,0.98077,0.56604,0.96774,0.68919,0.17172,0.96154,0.60377,0.94118,0.70423,0.30303,0.90385,0.83019,0.89796,0.83929
TIMP2_KPYM,PERM_MVP,0.93759,0.16162,0.98077,0.60377,0.96970,0.70833,0.18182,0.96154,0.66038,0.94595,0.73529,0.52525,0.80769,0.92453,0.83051,0.91304
TIMP2_KPYM,PERM_NGAL,0.93759,0.13131,0.98077,0.56604,0.96774,0.68919,0.14141,0.96154,0.58491,0.93939,0.69444,0.48485,0.88462,0.86792,0.88462,0.86792
TIMP2_KPYM,MVP_PERM,0.93759,0.16162,0.98077,0.60377,0.96970,0.70833,0.18182,0.96154,0.66038,0.94595,0.73529,0.52525,0.80769,0.92453,0.83051,0.91304
TIMP2_KPYM,NGAL_PERM,0.93759,0.13131,0.98077,0.56604,0.96774,0.68919,0.14141,0.96154,0.58491,0.93939,0.69444,0.48485,0.88462,0.86792,0.88462,0.86792
KPYM_TIMP2,PERM_MVP,0.93759,0.16162,0.98077,0.60377,0.96970,0.70833,0.18182,0.96154,0.66038,0.94595,0.73529,0.52525,0.80769,0.92453,0.83051,0.91304
KPYM_TIMP2,PERM_NGAL,0.93759,0.13131,0.98077,0.56604,0.96774,0.68919,0.14141,0.96154,0.58491,0.93939,0.69444,0.48485,0.88462,0.86792,0.88462,0.86792
KPYM_TIMP2,MVP_PERM,0.93759,0.16162,0.98077,0.60377,0.96970,0.70833,0.18182,0.96154,0.66038,0.94595,0.73529,0.52525,0.80769,0.92453,0.83051,0.91304
KPYM_TIMP2,NGAL_PERM,0.93759,0.13131,0.98077,0.56604,0.96774,0.68919,0.14141,0.96154,0.58491,0.93939,0.69444,0.48485,0.88462,0.86792,0.88462,0.86792
Endometrial_thickness,TIMP2_CLIC1,0.9375,0.09091,0.98077,0.50000,0.96296,0.66234,0.19192,0.96154,0.69231,0.94737,0.75758,0.43434,0.90385,0.90385,0.90385,0.90385
Endometrial_thickness,CLIC1_TIMP2,0.9375,0.09091,0.98077,0.50000,0.96296,0.66234,0.19192,0.96154,0.69231,0.94737,0.75758,0.43434,0.90385,0.90385,0.90385,0.90385
TIMP2_KPYM,KPYM_PERM,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
TIMP2_KPYM,PERM_TIMP2,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
TIMP2_KPYM,PERM_KPYM,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
TIMP2_PERM,KPYM_TIMP2,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
TIMP2_PERM,KPYM_PERM,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
TIMP2_PERM,PERM_KPYM,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
KPYM_TIMP2,PERM_TIMP2,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
KPYM_TIMP2,PERM_KPYM,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
KPYM_PERM,PERM_TIMP2,0.93614,0.13131,1.00000,0.56604,1.00000,0.69333,0.17172,0.96154,0.60377,0.94118,0.70423,0.42424,0.86538,0.88679,0.87037,0.88235
Endometrial_thickness,TIMP2_PERM,0.93602,0.12121,1.00000,0.50000,1.00000,0.66667,0.21212,0.96154,0.67308,0.94595,0.74627,0.47475,0.88462,0.92308,0.88889,0.92000
Endometrial_thickness,PERM_TIMP2,0.93602,0.12121,1.00000,0.50000,1.00000,0.66667,0.21212,0.96154,0.67308,0.94595,0.74627,0.47475,0.88462,0.92308,0.88889,0.92000
MMP9_MVP,TIMP2_KPYM,0.93469,0.19192,0.98077,0.60377,0.96970,0.70833,0.25253,0.96154,0.69811,0.94872,0.75758,0.42424,0.88462,0.81132,0.87755,0.82143
MMP9_MVP,KPYM_TIMP2,0.93469,0.19192,0.98077,0.60377,0.96970,0.70833,0.25253,0.96154,0.69811,0.94872,0.75758,0.42424,0.88462,0.81132,0.87755,0.82143
TIMP2_KPYM,PERM_CLIC1,0.93469,0.14141,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.36364,0.88462,0.83019,0.88000,0.83636
TIMP2_KPYM,MVP_MMP9,0.93469,0.19192,0.98077,0.60377,0.96970,0.70833,0.25253,0.96154,0.69811,0.94872,0.75758,0.42424,0.88462,0.81132,0.87755,0.82143
TIMP2_KPYM,CLIC1_PERM,0.93469,0.14141,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.36364,0.88462,0.83019,0.88000,0.83636
KPYM_TIMP2,PERM_CLIC1,0.93469,0.14141,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.36364,0.88462,0.83019,0.88000,0.83636
KPYM_TIMP2,MVP_MMP9,0.93469,0.19192,0.98077,0.60377,0.96970,0.70833,0.25253,0.96154,0.69811,0.94872,0.75758,0.42424,0.88462,0.81132,0.87755,0.82143
KPYM_TIMP2,CLIC1_PERM,0.93469,0.14141,0.98077,0.52830,0.96552,0.67105,0.18182,0.96154,0.58491,0.93939,0.69444,0.36364,0.88462,0.83019,0.88000,0.83636
MMP9_TIMP2,TIMP2_KPYM,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
MMP9_TIMP2,KPYM_MMP9,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
MMP9_TIMP2,KPYM_TIMP2,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
MMP9_KPYM,TIMP2_MMP9,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
MMP9_KPYM,TIMP2_KPYM,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
MMP9_KPYM,KPYM_TIMP2,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
TIMP2_MMP9,KPYM_MMP9,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
TIMP2_MMP9,KPYM_TIMP2,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
TIMP2_KPYM,KPYM_MMP9,0.93396,0.16162,0.98077,0.58491,0.96875,0.69863,0.22222,0.96154,0.66038,0.94595,0.73529,0.54545,0.80769,0.94340,0.83333,0.93333
MMP9_CLIC1,TIMP2_KPYM,0.9336,0.13131,1.00000,0.54717,1.00000,0.68421,0.18182,0.96154,0.62264,0.94286,0.71429,0.59596,0.80769,0.94340,0.83333,0.93333
MMP9_CLIC1,KPYM_TIMP2,0.9336,0.13131,1.00000,0.54717,1.00000,0.68421,0.18182,0.96154,0.62264,0.94286,0.71429,0.59596,0.80769,0.94340,0.83333,0.93333
TIMP2_KPYM,CLIC1_MMP9,0.9336,0.13131,1.00000,0.54717,1.00000,0.68421,0.18182,0.96154,0.62264,0.94286,0.71429,0.59596,0.80769,0.94340,0.83333,0.93333
KPYM_TIMP2,CLIC1_MMP9,0.9336,0.13131,1.00000,0.54717,1.00000,0.68421,0.18182,0.96154,0.62264,0.94286,0.71429,0.59596,0.80769,0.94340,0.83333,0.93333
TIMP2_PERM,NGAL_CLIC1,0.93106,0.14141,1.00000,0.60377,1.00000,0.71233,0.16162,0.96154,0.62264,0.94286,0.71429,0.37374,0.92308,0.79245,0.91304,0.81356
TIMP2_PERM,CLIC1_NGAL,0.93106,0.14141,1.00000,0.60377,1.00000,0.71233,0.16162,0.96154,0.62264,0.94286,0.71429,0.37374,0.92308,0.79245,0.91304,0.81356
PERM_TIMP2,NGAL_CLIC1,0.93106,0.14141,1.00000,0.60377,1.00000,0.71233,0.16162,0.96154,0.62264,0.94286,0.71429,0.37374,0.92308,0.79245,0.91304,0.81356
PERM_TIMP2,CLIC1_NGAL,0.93106,0.14141,1.00000,0.60377,1.00000,0.71233,0.16162,0.96154,0.62264,0.94286,0.71429,0.37374,0.92308,0.79245,0.91304,0.81356
TIMP2_CLIC1,PERM_PIGR,0.92961,0.09091,1.00000,0.43396,1.00000,0.63415,0.10101,0.96154,0.45283,0.92308,0.63291,0.45455,0.88462,0.86792,0.88462,0.86792
TIMP2_CLIC1,PIGR_PERM,0.92961,0.09091,1.00000,0.43396,1.00000,0.63415,0.10101,0.96154,0.45283,0.92308,0.63291,0.45455,0.88462,0.86792,0.88462,0.86792
PERM_PIGR,CLIC1_TIMP2,0.92961,0.09091,1.00000,0.43396,1.00000,0.63415,0.10101,0.96154,0.45283,0.92308,0.63291,0.45455,0.88462,0.86792,0.88462,0.86792
CLIC1_TIMP2,PIGR_PERM,0.92961,0.09091,1.00000,0.43396,1.00000,0.63415,0.10101,0.96154,0.45283,0.92308,0.63291,0.45455,0.88462,0.86792,0.88462,0.86792
TIMP2_PERM,KPYM_PIGR,0.92852,0.11111,1.00000,0.49057,1.00000,0.65823,0.17172,0.96154,0.60377,0.94118,0.70423,0.28283,0.94231,0.75472,0.93023,0.79032
TIMP2_PERM,PIGR_KPYM,0.92852,0.11111,1.00000,0.49057,1.00000,0.65823,0.17172,0.96154,0.60377,0.94118,0.70423,0.28283,0.94231,0.75472,0.93023,0.79032
KPYM_PIGR,PERM_TIMP2,0.92852,0.11111,1.00000,0.49057,1.00000,0.65823,0.17172,0.96154,0.60377,0.94118,0.70423,0.28283,0.94231,0.75472,0.93023,0.79032
PERM_TIMP2,PIGR_KPYM,0.92852,0.11111,1.00000,0.49057,1.00000,0.65823,0.17172,0.96154,0.60377,0.94118,0.70423,0.28283,0.94231,0.75472,0.93023,0.79032
MMP9_TIMP2,NGAL_CLIC1,0.92816,0.17172,0.98077,0.67925,0.97297,0.75000,0.17172,0.98077,0.67925,0.97297,0.75000,0.50505,0.88462,0.88679,0.88679,0.88462
MMP9_TIMP2,CLIC1_NGAL,0.92816,0.17172,0.98077,0.67925,0.97297,0.75000,0.17172,0.98077,0.67925,0.97297,0.75000,0.50505,0.88462,0.88679,0.88679,0.88462
TIMP2_MMP9,NGAL_CLIC1,0.92816,0.17172,0.98077,0.67925,0.97297,0.75000,0.17172,0.98077,0.67925,0.97297,0.75000,0.50505,0.88462,0.88679,0.88679,0.88462
TIMP2_MMP9,CLIC1_NGAL,0.92816,0.17172,0.98077,0.67925,0.97297,0.75000,0.17172,0.98077,0.67925,0.97297,0.75000,0.50505,0.88462,0.88679,0.88679,0.88462
MMP9_PIGR,TIMP2_CLIC1,0.92707,0.13131,0.98077,0.49057,0.96296,0.65385,0.15152,0.96154,0.54717,0.93548,0.67568,0.52525,0.82692,0.90566,0.84211,0.89583
MMP9_PIGR,CLIC1_TIMP2,0.92707,0.13131,0.98077,0.49057,0.96296,0.65385,0.15152,0.96154,0.54717,0.93548,0.67568,0.52525,0.82692,0.90566,0.84211,0.89583
TIMP2_CLIC1,PIGR_MMP9,0.92707,0.13131,0.98077,0.49057,0.96296,0.65385,0.15152,0.96154,0.54717,0.93548,0.67568,0.52525,0.82692,0.90566,0.84211,0.89583
CLIC1_TIMP2,PIGR_MMP9,0.92707,0.13131,0.98077,0.49057,0.96296,0.65385,0.15152,0.96154,0.54717,0.93548,0.67568,0.52525,0.82692,0.90566,0.84211,0.89583
MMP9_NGAL,TIMP2_KPYM,0.92562,0.11111,0.98077,0.49057,0.96296,0.65385,0.17172,0.96154,0.60377,0.94118,0.70423,0.49495,0.82692,0.88679,0.83929,0.87755
MMP9_NGAL,KPYM_TIMP2,0.92562,0.11111,0.98077,0.49057,0.96296,0.65385,0.17172,0.96154,0.60377,0.94118,0.70423,0.49495,0.82692,0.88679,0.83929,0.87755
TIMP2_KPYM,NGAL_MMP9,0.92562,0.11111,0.98077,0.49057,0.96296,0.65385,0.17172,0.96154,0.60377,0.94118,0.70423,0.49495,0.82692,0.88679,0.83929,0.87755
