preferredName_A	preferredName_B	score
RB1	E2F1	0.999
RB1	E2F2	0.999
RB1	MDM2	0.999
RB1	E2F4	0.999
RB1	CDK2	0.999
RB1	TFDP1	0.999
RB1	HDAC1	0.999
RB1	CDK4	0.999
RB1	CCNA2	0.998
RB1	CCND1	0.998
RB1	E2F3	0.998
RB1	CDK6	0.997
RB1	CDK1	0.995
RB1	CCNA1	0.995
RB1	CCNE1	0.994
RB1	E2F5	0.992
RB1	CCND3	0.989
RB1	CCND2	0.988
RB1	TFDP2	0.987
RB1	HDAC2	0.986
RB1	SKP2	0.985
RB1	ARID4A	0.984
RB1	PPP1CA	0.984
RB1	ABL1	0.98
RB1	SMARCA4	0.979
RB1	RUNX2	0.97
RB1	PPP1CC	0.959
RB1	CCNE2	0.957
RB1	PPP1CB	0.953
RB1	RBL2	0.949
RB1	RBBP4	0.947
RB1	KDM5A	0.947
RB1	TP53	0.936
RB1	TP53BP1	0.928
RB1	RBL1	0.923
RB1	S100A6	0.921
RB1	PSMC1	0.901
