preferredName_A	preferredName_B	score
COL1A2	LUM	0.999
COL1A2	COL3A1	0.999
COL1A2	COL1A1	0.999
COL1A2	COL5A2	0.998
COL1A2	COL11A1	0.992
COL1A2	COL5A1	0.989
COL1A2	ITGB1	0.988
COL1A2	CD44	0.988
COL1A2	FN1	0.982
COL1A2	ITGA2	0.973
COL1A2	COL6A3	0.968
COL1A2	FBN1	0.965
COL1A2	CRTAP	0.964
COL1A2	PCOLCE	0.963
COL1A2	SPARC	0.959
COL1A2	COL11A2	0.953
COL1A2	ADAMTS2	0.946
COL1A2	P3H1	0.945
COL1A2	BGN	0.938
COL1A2	DCN	0.93
COL1A2	COL5A3	0.93
COL1A2	ITGA11	0.927
COL1A2	POSTN	0.918
COL1A2	COL6A2	0.908
COL1A2	GP6	0.908
COL1A2	MMP9	0.904
