Biomarker,AUC,Sensitivity (max sum),Specificity (max sum),Sensitivity (sens > 95%),Specificity (sens > 95%),Log2FC,p-value,n_pos,n_neg,n_pos+n_neg
CNRP1_HUMAN,0.967,0.885,0.925,0.962,0.83,-2.723,0.0,52,53,105
LDHA_HUMAN,0.958,0.885,0.962,0.962,0.717,1.412,0.0,52,53,105
AL1A2_HUMAN,0.954,0.942,0.868,0.962,0.792,-3.117,0.0,52,53,105
FAS_HUMAN,0.945,0.923,0.925,0.962,0.358,1.805,0.0,52,53,105
PTPRF_HUMAN,0.943,0.865,0.981,0.962,0.453,1.703,0.0,52,53,105
PGS2_HUMAN,0.938,0.885,0.83,0.962,0.679,-2.498,0.0,52,53,105
MD2L1_HUMAN,0.937,0.865,0.981,0.962,0.396,1.964,0.0,52,53,105
DPP3_HUMAN,0.937,0.846,0.943,0.962,0.34,1.207,0.0,52,53,105
UBE2H_HUMAN,0.925,0.885,0.943,0.962,0.453,1.413,0.0,52,53,105
CYBP_HUMAN,0.925,0.865,0.962,0.962,0.208,1.557,0.0,52,53,105
HMGB3_HUMAN,0.924,0.846,0.887,0.981,0.491,2.293,0.0,52,53,105
NRDC_HUMAN,0.922,0.865,0.943,0.962,0.34,1.243,0.0,52,53,105
GGCT_HUMAN,0.922,0.808,0.981,0.962,0.245,1.374,0.0,52,53,105
EGLN_HUMAN,0.922,0.904,0.849,0.962,0.491,-1.575,0.0,52,53,105
GFPT1_HUMAN,0.922,0.846,0.887,0.962,0.528,1.72,0.0,52,53,105
G6PI_HUMAN,0.921,0.846,0.868,0.962,0.604,1.139,0.0,52,53,105
MXRA7_HUMAN,0.921,0.827,0.906,0.962,0.679,-2.007,0.0,52,53,105
AL1A1_HUMAN,0.919,0.904,0.811,0.962,0.528,-2.001,0.0,52,53,105
CASP3_HUMAN,0.919,0.846,0.925,0.962,0.509,1.399,0.0,52,53,105
EHD2_HUMAN,0.919,0.846,0.887,0.962,0.377,-1.916,0.0,52,53,105
IDE_HUMAN,0.917,0.846,0.925,0.962,0.358,1.332,0.0,52,53,105
MIME_HUMAN,0.917,0.942,0.755,0.981,0.642,-2.284,0.0,52,53,105
A4_HUMAN,0.916,0.846,0.887,0.962,0.736,1.507,0.0,52,53,105
HMCS1_HUMAN,0.915,0.865,0.868,0.962,0.415,1.708,0.0,52,53,105
HBAT_HUMAN,0.913,0.865,0.83,0.962,0.642,-2.444,0.0,52,53,105
DPOD1_HUMAN,0.913,0.846,0.925,0.962,0.226,1.387,0.0,52,53,105
AVL9_HUMAN,0.912,0.827,0.981,0.962,0.226,1.399,0.0,52,53,105
CDK1_HUMAN,0.911,0.846,0.981,0.981,0.094,2.032,0.0,52,53,105
LYPA1_HUMAN,0.909,0.788,0.962,0.962,0.434,1.158,0.0,52,53,105
GARS_HUMAN,0.909,0.769,0.981,0.962,0.34,1.282,0.0,52,53,105
DCTP1_HUMAN,0.909,0.827,0.906,0.962,0.17,1.805,0.0,52,53,105
E41L3_HUMAN,0.908,0.885,0.849,0.962,0.717,-1.39,0.0,52,53,105
IMPA2_HUMAN,0.907,0.865,0.868,0.962,0.453,1.843,0.0,52,53,105
ENOA_HUMAN,0.907,0.788,0.887,0.962,0.528,1.122,0.0,52,53,105
SYTC_HUMAN,0.907,0.865,0.887,0.981,0.245,1.404,0.0,52,53,105
CA2D1_HUMAN,0.906,0.885,0.774,0.962,0.604,-1.384,0.0,52,53,105
UBE2K_HUMAN,0.906,0.788,0.943,0.962,0.321,1.121,0.0,52,53,105
PGRC1_HUMAN,0.905,0.788,0.906,0.962,0.623,-2.52,0.0,52,53,105
GNA1_HUMAN,0.905,0.885,0.792,0.962,0.623,1.63,0.0,52,53,105
NDKB_HUMAN,0.904,0.827,0.887,0.962,0.189,1.118,0.0,52,53,105
EGFR_HUMAN,0.903,0.885,0.811,0.962,0.698,-0.988,0.0,52,53,105
MECP2_HUMAN,0.903,0.865,0.811,0.962,0.585,-1.594,0.0,52,53,105
CLIC2_HUMAN,0.902,0.769,0.906,0.962,0.491,-1.777,0.0,52,53,105
HBD_HUMAN,0.902,0.846,0.868,0.962,0.566,-2.002,0.0,52,53,105
SYYC_HUMAN,0.902,0.846,0.943,0.962,0.321,1.489,0.0,52,53,105
PURA2_HUMAN,0.9,0.885,0.811,0.962,0.396,1.041,0.0,52,53,105
UB2G1_HUMAN,0.9,0.904,0.792,0.962,0.226,1.327,0.0,52,53,105
MCM4_HUMAN,0.899,0.846,0.849,0.962,0.245,1.904,0.0,52,53,105
ABRAL_HUMAN,0.899,0.827,0.925,0.962,0.302,1.596,0.0,52,53,105
SERA_HUMAN,0.898,0.846,0.887,0.981,0.208,1.877,0.0,52,53,105
FKBP7_HUMAN,0.898,0.904,0.755,0.962,0.566,-1.981,0.0,52,53,105
SPTA1_HUMAN,0.897,0.788,0.868,0.962,0.528,-2.314,0.0,52,53,105
ALDOA_HUMAN,0.897,0.788,0.887,0.962,0.302,0.91,0.0,52,53,105
HARS1_HUMAN,0.897,0.75,0.925,0.962,0.396,1.391,0.0,52,53,105
F262_HUMAN,0.896,0.865,0.83,0.962,0.358,1.433,0.0,52,53,105
