Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
CSE1L_1,0.8913,1.0,0.625,1.0,0.7931,0.66667
LDHA_0,0.8304,0.97021,0.29252,0.86,0.68675,0.56566
LDHA_1,0.82349,0.9617,0.26712,0.8125,0.67868,0.56566
FASN,0.81286,0.95575,0.18045,0.70588,0.66462,0.51515
CACYBP_0,0.81074,0.95833,0.17204,0.69565,0.67647,0.53535
PKM_0,0.80301,0.9569,0.1875,0.72973,0.65487,0.55556
SFN_1,0.79626,0.98276,0.08451,0.75,0.63687,0.52525
ENO1_0,0.79146,0.9617,0.25342,0.80435,0.67463,0.57576
MPO_1,0.78817,0.96581,0.26531,0.82979,0.67665,0.51515
TPD52_2,0.78585,0,0,0,0,0.5
TARS1_2,0.7853,0.95259,0.26761,0.77551,0.68,0.52525
TPD52_0,0.78109,0.96581,0.10959,0.66667,0.63483,0.52525
ENO1_1,0.77969,0.9646,0.22378,0.8,0.66261,0.56566
CACYBP_1,0.77718,0.96137,0.13793,0.68966,0.64183,0.52525
CACYBP_2,0.77607,0.96137,0.12587,0.66667,0.64183,0.51515
AGRN_0,0.77426,0.95238,0.27068,0.76596,0.69401,0.54545
SFN_2,0.77354,0.98723,0.00685,0.25,0.61538,0.50505
MMP9_0,0.77328,0.97872,0.15603,0.81481,0.65903,0.50505
MPO_0,0.77293,0.99149,0.08163,0.85714,0.63315,0.50505
MMP9_1,0.76791,0.9617,0.25342,0.80435,0.67463,0.51515
TARS1_1,0.76086,0.95745,0.20408,0.75,0.65789,0.52525
UGDH_2,0.76058,0.95614,0.19084,0.71429,0.67284,0.51515
KPNB1_1,0.75898,0.97872,0.06849,0.66667,0.62842,0.50505
S100A12,0.75894,0.97423,0.15044,0.77273,0.66316,0.51515
TPD52_1,0.75395,0.98298,0.03448,0.55556,0.62264,0.50505
MCM3_1,0.75251,0.95197,0.20149,0.71053,0.67077,0.51515
GMDS_2,0.7523,0.96154,0.10417,0.625,0.63559,0.51515
CASP3,0.75215,0.95726,0.14483,0.67742,0.64368,0.52525
ISG15_1,0.74955,0.95614,0.1831,0.72222,0.65269,0.52525
CLIC1_1,0.7494,0.95319,0.15646,0.67647,0.64368,0.53535
UGDH_0,0.74768,0.95319,0.15646,0.67647,0.64368,0.51515
CAPG_1,0.74755,0.97021,0.17687,0.78788,0.6533,0.53535
KPNB1_0,0.7458,0.96121,0.16084,0.71875,0.65015,0.51515
PRDX1_0,0.74484,0.97021,0.11644,0.70833,0.63866,0.54545
IARS1,0.74392,0.97863,0.07092,0.66667,0.63611,0.50505
PSMD2,0.74365,0.95853,0.11719,0.625,0.64798,0.51515
CTNNB1_1,0.74361,0.9569,0.18621,0.72973,0.65294,0.51515
MVP_0,0.74239,0.95745,0.08276,0.54545,0.62849,0.53535
PRDX1_1,0.74237,0.96596,0.13605,0.71429,0.64124,0.54545
MX1_1,0.74038,0.97436,0.17164,0.7931,0.67257,0.52525
MX1_0,0.73867,0,0,0,0,0.5
GMDS_1,0.73815,0.95259,0.13793,0.64516,0.63873,0.52525
CLIC1_0,0.73605,0.9617,0.16438,0.72727,0.64943,0.53535
HSPE1_0,0.73464,0.97021,0.18367,0.79412,0.65517,0.52525
CAPG_0,0.73398,0.95745,0.17241,0.71429,0.65217,0.54545
ISG15_2,0.73394,0.97009,0.14483,0.75,0.64672,0.51515
FABP5_0,0.73337,0.96581,0.05479,0.5,0.62088,0.51515
TARS1_0,0.73001,0.97021,0.10959,0.69565,0.63687,0.51515
NAMPT_0,0.72889,0.96581,0.15714,0.73333,0.65698,0.51515
SFN_0,0.72872,0.992,0.01493,0.5,0.65263,0.50505
RAB8A_0,0.72863,0.95319,0.21769,0.74419,0.66077,0.53535
RPSA_1,0.72692,0.9617,0.08844,0.59091,0.62778,0.51515
SPP1_0,0.72552,0.95982,0.1875,0.75,0.64759,0.51515
VPS35_0,0.72373,0.97309,0.08209,0.64706,0.63824,0.50505
P4HB_1,0.7237,0.95319,0.21233,0.7381,0.66077,0.55556
UGDH_1,0.72108,0.97863,0.05556,0.61538,0.6274,0.50505
EIF2AK2_0,0.72049,0.97854,0.08633,0.70588,0.64225,0.51515
FUBP1_2,0.71968,0.95745,0.11724,0.62963,0.63739,0.51515
HSPE1_1,0.71957,0.96596,0.13605,0.71429,0.64124,0.53535
SPINT1_1,0.7174,0.97009,0.14286,0.75,0.64306,0.52525
AGRN_1,0.71634,0.96154,0.10959,0.64,0.6338,0.52525
NAMPT_1,0.71551,0.96104,0.1844,0.74286,0.65875,0.53535
ILF2_0,0.71546,0.95745,0.14583,0.67742,0.64655,0.52525
GTF2I_1,0.71454,0.95833,0.06977,0.5,0.63303,0.50505
MIF,0.71452,0.95745,0.12245,0.64286,0.63559,0.55556
RPS16_0,0.7135,0.98712,0.01389,0.4,0.61828,0.50505
MVP_1,0.71271,0.98723,0.04167,0.66667,0.62703,0.51515
ISG15_0,0.7125,0.97345,0.04065,0.45455,0.65089,0.50505
VPS35_1,0.71191,0.99149,0.05,0.77778,0.63661,0.50505
PFDN6_2,0.71087,0.96996,0.10884,0.69565,0.63305,0.51515
RPL12,0.71039,0.96596,0.07483,0.57895,0.62534,0.51515
CTNNB1_0,0.70717,0.9913,0.08029,0.84615,0.64407,0.52525
MAGED2_1,0.70686,0.98718,0.01389,0.4,0.6193,0.50505
RPSA_0,0.70637,0.95319,0.10204,0.57692,0.62921,0.51515
ANXA1_1,0.70627,0.9617,0.10204,0.625,0.63128,0.51515
KRT8_1,0.7057,0.95745,0.14966,0.6875,0.64286,0.52525
TPI1_1,0.70534,0.97447,0.10204,0.71429,0.63435,0.54545
SPP1_1,0.70472,0.96996,0.25517,0.84091,0.67665,0.51515
SFRP4_1,0.70423,0.96087,0.16438,0.72727,0.64431,0.41414
FUBP1_0,0.7042,0.98723,0.05442,0.72727,0.62534,0.50505
DDAH1_1,0.70354,0.95789,0.10294,0.63636,0.59868,0.51515
GSTP1_0,0.70285,0.96596,0.08844,0.61905,0.62881,0.54545
GOLM1_2,0.70285,0.95536,0.16279,0.67742,0.6646,0.51515
EIF2AK2_1,0.70282,0.97009,0.08571,0.63158,0.63944,0.51515
DCN_1,0.70277,0.96,0.14966,0.70968,0.63343,0.42424
FUBP1_1,0.70198,0.95217,0.13194,0.63333,0.63663,0.51515
PFDN4_0,0.70186,0.9617,0.11724,0.65385,0.63842,0.52525
GTF2I_2,0.70009,0.98261,0.03521,0.55556,0.62259,0.50505
FABP5_1,0.69956,0.96581,0.06122,0.52941,0.62088,0.52525
CSE1L_0,0.69907,0.98649,0.07937,0.76923,0.65373,0.50505
P4HB_0,0.69872,0.95133,0.2446,0.75556,0.67188,0.56566
ABCF3_2,0.69632,0.95495,0.17857,0.71429,0.64832,0.51515
ACE_0,0.69586,0.95175,0.15646,0.67647,0.63636,0.38384
EIF2B4_0,0.69482,0.95089,0.27857,0.78,0.67834,0.50505
GMDS_0,0.69411,0,0,0,0,0.5
VCP_1,0.69259,0.95726,0.08966,0.56522,0.62921,0.51515
TPI1_0,0.69257,0.96567,0.10274,0.65217,0.63202,0.57576
DCN_0,0.69191,0.95872,0.16788,0.71875,0.64706,0.43434
KRT8_0,0.69136,0.97863,0.09524,0.73684,0.6326,0.51515
ANXA1_0,0.68946,0.96154,0.01379,0.18182,0.61141,0.51515
SNRPD3_1,0.6886,0.95745,0.14483,0.67742,0.6447,0.52525
EIF2AK2_2,0.6874,0.9697,0.0963,0.65,0.6474,0.51515
SNRPD3_0,0.687,0.97021,0.08219,0.63158,0.62983,0.51515
PPIA_1,0.68553,0.9617,0.07483,0.55,0.62431,0.54545
RUVBL1_0,0.68483,0.97854,0.09091,0.72222,0.63687,0.51515
PPIA_2,0.68247,0.9617,0.10204,0.625,0.63128,0.55556
GSTP1_1,0.68135,0.95475,0.07519,0.5,0.63174,0.55556
DDAH1_2,0.68039,0.95413,0.11719,0.6,0.64798,0.51515
UBR4_0,0.6773,0.99115,0.03521,0.71429,0.6205,0.50505
PPIA_0,0.67717,0.95726,0.10274,0.6,0.63099,0.56566
PPP2R2A_1,0.67658,0.99142,0.01361,0.5,0.61436,0.50505
ABCF3_0,0.67532,0.97087,0.04,0.45455,0.625,0.52525
DDAH1_0,0.67152,0.95319,0.09524,0.56,0.62745,0.51515
BCAM,0.67107,0.9738,0.06338,0.6,0.6264,0.51515
VCP_0,0.6707,0.95045,0.11189,0.59259,0.62426,0.51515
GMPPA_0,0.67042,0,0,0,0,0.5
CD14,0.66996,0.97462,0.15455,0.77273,0.67368,0.54545
TTC38_1,0.66996,0.98655,0.07092,0.76923,0.62678,0.50505
MAT2A_1,0.66677,0.95708,0.10204,0.6,0.62817,0.51515
MCM3_2,0.66668,0,0,0,0,0.5
ILF2_1,0.6665,0.95238,0.10417,0.625,0.58252,0.51515
BROX_1,0.66615,0.9617,0.10884,0.64,0.63305,0.51515
GPX4_2,0.66297,0.95238,0.10345,0.42857,0.75472,0.51515
SFRP4_0,0.6626,0.9617,0.15646,0.71875,0.64571,0.45455
CPNE3_1,0.66058,0,0,0,0,0.5
SH3BGRL3,0.66021,0.9738,0.07092,0.625,0.62994,0.53535
HSPB1_1,0.65975,0.96581,0.01361,0.2,0.60916,0.51515
RPL29_0,0.65789,0.98214,0.03788,0.55556,0.63401,0.50505
BROX_0,0.65755,0,0,0,0,0.5
PDE12_1,0.65737,0,0,0,0,0.5
SFRP4_2,0.65575,0.95726,0.19728,0.74359,0.65497,0.44444
UBR4_1,0.65527,0,0,0,0,0.5
GMPPA_1,0.65424,0.9617,0.13194,0.67857,0.64387,0.52525
CNDP2_1,0.65339,0.96596,0.06803,0.55556,0.62363,0.52525
GPX4_0,0.65293,0.97414,0.00685,0.14286,0.60916,0.50505
CRYL1_1,0.65209,0.95279,0.09655,0.56,0.6289,0.52525
PRPF31_1,0.65194,0.9763,0.07563,0.64286,0.6519,0.53535
GTF2I_0,0.65123,0,0,0,0,0.5
ASRGL1_0,0.65007,0.97425,0.01361,0.25,0.61022,0.50505
GPX4_1,0.64985,0,0,0,0,0.5
UCHL1_1,0.64957,0.97425,0.0411,0.5,0.61853,0.51515
VAC14_0,0.6493,0.95595,0.12687,0.62963,0.6497,0.50505
VAMP8_1,0.64915,0.98618,0.03008,0.57143,0.62391,0.50505
EIF2B4_2,0.64893,0.98052,0.02899,0.4,0.69266,0.50505
ALCAM_2,0.64803,0.97758,0.01471,0.28571,0.61932,0.50505
SMPDL3B_0,0.64788,0.98667,0.07692,0.78571,0.62712,0.50505
MAT2A_2,0.64763,0.95516,0.08209,0.52381,0.63393,0.53535
RPS16_1,0.64739,0.98712,0.02098,0.5,0.62162,0.50505
HSPB1_0,0.64648,0.99149,0.02721,0.66667,0.61968,0.50505
CPNE3_2,0.64511,0.96396,0.07971,0.57895,0.62757,0.51515
LAMP2,0.64496,0.95745,0.08163,0.54545,0.625,0.53535
HSPG2,0.64474,0.97423,0.13158,0.75,0.65625,0.51515
TBC1D2B_0,0.64407,0,0,0,0,0.5
SPINT1_0,0.6439,0.95299,0.23129,0.75556,0.66369,0.51515
ASRGL1_1,0.64384,0.97835,0.0068,0.16667,0.60753,0.50505
CNDP2_0,0.64367,0.95319,0.08966,0.54167,0.62921,0.51515
CSNK2A1,0.64347,0.95633,0.09286,0.56522,0.63295,0.50505
ANXA2_1,0.64309,0.96581,0.14966,0.73333,0.64387,0.51515
TXNL1_0,0.64302,0.96121,0.06944,0.52632,0.62465,0.51515
CNDP2_2,0.64273,0.97009,0.06803,0.58824,0.62363,0.51515
RPL29_1,0.64264,0.97021,0.04082,0.46154,0.61789,0.50505
ABCF3_1,0.64241,0,0,0,0,0.5
CRYL1_0,0.64238,0.95319,0.09028,0.54167,0.63099,0.50505
UTP20,0.63994,0,0,0,0,0.5
PLD3,0.63947,0.98649,0.09701,0.8125,0.64412,0.51515
ASRGL1_2,0.63935,0.97425,0.02041,0.33333,0.61186,0.50505
VAMP8_0,0.63873,0.96581,0.15646,0.74194,0.64571,0.51515
MAT2A_0,0.63811,0.99149,0.01361,0.5,0.6164,0.52525
ADD3_0,0.63657,0.96154,0.12057,0.65385,0.6447,0.53535
SNRPE,0.63453,0.9617,0.05556,0.47059,0.62431,0.50505
FAM3C_2,0.63407,0,0,0,0,0.5
LGALS9,0.63133,0.955,0.10156,0.59091,0.62418,0.51515
ARL6IP1,0.62868,0.95808,0.08247,0.53333,0.64257,0.50505
CPNE3_0,0.62792,0.99145,0.02778,0.66667,0.62366,0.50505
CAPS_1,0.6271,0,0,0,0,0.5
SLC7A5_1,0.62355,0,0,0,0,0.5
LCN2_0,0.62312,0.95726,0.07692,0.52381,0.62921,0.52525
TTC38_2,0.62285,0.95595,0.07092,0.5,0.62356,0.50505
GMPPA_2,0.62244,0,0,0,0,0.5
ALDOC_0,0.61925,0.96087,0.13699,0.68966,0.63689,0.52525
ITGB3_0,0.61916,0.96951,0.08571,0.64286,0.62353,0.46465
IGF2BP3_0,0.61869,0,0,0,0,0.5
RPL11,0.61785,0.9617,0.07534,0.55,0.62604,0.50505
MAGED2_0,0.61773,0.98718,0.02797,0.57143,0.62432,0.50505
CAPS_0,0.61773,0,0,0,0,0.5
TXNL1_1,0.61626,0.99107,0.00752,0.33333,0.62712,0.50505
ACE_1,0.61351,0.97706,0.11852,0.7619,0.64157,0.46465
B4GALT1,0.61271,0.95238,0.13768,0.63333,0.64897,0.51515
LCN2_1,0.61155,0.96522,0.07092,0.55556,0.6289,0.51515
ANXA2_0,0.60995,0.98298,0.02759,0.5,0.62097,0.50505
PEBP1_0,0.60975,0.95319,0.06849,0.47619,0.62222,0.52525
ADD3_1,0.60852,0.96996,0.08451,0.63158,0.63483,0.51515
H1-0_1,0.60598,0.98469,0.04386,0.625,0.63907,0.47475
ACE_2,0.60516,0.96581,0.14483,0.72414,0.64571,0.45455
PEBP1_1,0.60387,0.98283,0.03472,0.55556,0.62228,0.51515
SLC2A1_1,0.60346,0.99571,0.02069,0.75,0.62032,0.50505
ITGB3_1,0.60105,0.97044,0.14655,0.73913,0.66554,0.51515
TBC1D2B_2,0.60037,0.985,0.01754,0.4,0.63754,0.50505
ALCAM_0,0.59942,0.96596,0.02721,0.33333,0.61351,0.51515
LGALS3_0,0.59703,0.99149,0.02721,0.66667,0.61968,0.50505
MUC1_0,0.59382,0.99138,0.0068,0.33333,0.6117,0.50505
SLC7A5_0,0.59375,0.95652,0.08333,0.2,0.88889,0.54545
FAM3C_0,0.59374,0.97009,0.04828,0.5,0.62192,0.51515
ALDOC_1,0.5925,0.95067,0.13889,0.64516,0.63095,0.52525
CDH1,0.59249,0.95484,0.06897,0.53333,0.57812,0.51515
AGR2_0,0.59142,0.96552,0.06164,0.52941,0.6205,0.50505
FN1_1,0.58968,1.0,0.02721,1.0,0.62169,0.50505
