preferredName_A	preferredName_B	score
CYP17A1	HSD3B1	0.995
CYP17A1	HSD3B2	0.994
CYP17A1	SRD5A1	0.992
CYP17A1	HSD17B3	0.991
CYP17A1	SRD5A2	0.986
CYP17A1	CYB5B	0.98
CYP17A1	CYB5A	0.979
CYP17A1	AKR1C3	0.979
CYP17A1	HSD17B2	0.972
CYP17A1	CYP19A1	0.971
CYP17A1	HSD17B6	0.97
CYP17A1	CYP7A1	0.967
CYP17A1	CYP11A1	0.965
CYP17A1	CYP11B1	0.964
CYP17A1	CYP11B2	0.963
CYP17A1	SRD5A3	0.958
CYP17A1	AKR1C1	0.955
CYP17A1	CYP21A2	0.951
CYP17A1	STAR	0.95
CYP17A1	CYP3A4	0.948
CYP17A1	STS	0.945
CYP17A1	CYP3A7	0.941
CYP17A1	CYP3A5	0.941
CYP17A1	AKR1D1	0.936
CYP17A1	HSD17B8	0.935
CYP17A1	CYP7B1	0.933
CYP17A1	SULT2B1	0.931
CYP17A1	CYP2E1	0.931
CYP17A1	CYP1A2	0.929
CYP17A1	ENSP00000480571	0.928
CYP17A1	CYP1A1	0.925
CYP17A1	POR	0.912
