uniprot_id	gene_id
Q60FE5	FLNA
P15924	DSP
A0A804HK76	FLNB
G3V4C0	CLMN
O15020	SPTBN2
A0A7P0T890	DST
Q2TAL5	SMTNL2
A0A804HI95	ACTN2
A0A087WSZ2	ACTN3
A0A0C4DG40	SYNE1
Q9NRC6	SPTBN5
A0A804HKE2	ACTN1
A0A669KBG2	SYNE2
Q5TED7	MICAL1
E9PNC3	MICAL2
A0A075B6G3	DMD
E7EVB6	DTNB
A0A0D9SGF6	SPTAN1
Q8NHY3	GAS2L2
G3V1N3	GAS2L3
A0A8I5KYZ1	PLEC
A0A075B730	EPPK1
F5GXS2	ACTN4
J3KRP8	MICAL3
A2CJ06	DYTN
A0A7P0TAN3	DTNA
P11277	SPTB
E9PLY0	MACF1
P02549	SPTA1
P08F94	PKHD1
Q86WI1	PKHD1L1
M0R1V6	SPTBN4
Q5JT49	UTRN
F2Z3K8	DRP2
Q6ZMZ3	SYNE3
B2ZZ89	SPTBN1
