preferredName_A	preferredName_B	score
TERT	NHP2	0.999
TERT	NOP10	0.999
TERT	WRAP53	0.999
TERT	TEP1	0.999
TERT	DKC1	0.999
TERT	HSP90AA1	0.998
TERT	SULT1E1	0.996
TERT	CTNNB1	0.995
TERT	RUVBL2	0.992
TERT	POT1	0.99
TERT	SMARCA4	0.99
TERT	PTGES3	0.989
TERT	HSP90AB1	0.987
TERT	SMG6	0.984
TERT	ACD	0.982
TERT	RUVBL1	0.979
TERT	TERF1	0.973
TERT	GAR1	0.971
TERT	TINF2	0.966
TERT	XRCC6	0.964
TERT	TCF7L1	0.957
TERT	XRCC5	0.948
TERT	NVL	0.944
TERT	SMG5	0.928
TERT	GNL3L	0.926
TERT	CLPTM1L	0.926
TERT	MYC	0.92
TERT	TCF7L2	0.919
TERT	RTEL1	0.918
TERT	TCF7	0.915
TERT	NAT10	0.913
TERT	KPNA1	0.913
TERT	PIF1	0.907
TERT	AKT1	0.903
TERT	TP53	0.902
