preferredName_A	preferredName_B	score
IL6	IL6R	0.999
IL6	IL2	0.999
IL6	IL6ST	0.999
IL6	IL3	0.998
IL6	IL1R1	0.997
IL6	TNFRSF1A	0.997
IL6	IL10	0.997
IL6	IL1B	0.996
IL6	JAK1	0.996
IL6	JAK2	0.995
IL6	TNF	0.994
IL6	NFKB1	0.994
IL6	CXCL8	0.991
IL6	IL9	0.99
IL6	JUN	0.989
IL6	IL1A	0.989
IL6	CSF3	0.988
IL6	IL4	0.986
IL6	RELA	0.986
IL6	TYK2	0.986
IL6	CCL2	0.985
IL6	STAT3	0.984
IL6	IL7	0.983
IL6	IFNG	0.983
IL6	CXCL1	0.982
IL6	IL17A	0.98
IL6	EGFR	0.979
IL6	IL5	0.977
IL6	CSF2	0.974
IL6	TLR4	0.973
IL6	STAT1	0.972
IL6	IL18	0.97
IL6	CRP	0.968
IL6	CXCL2	0.966
IL6	CD4	0.966
IL6	CD163	0.964
IL6	OSM	0.963
IL6	CCL3	0.962
IL6	TGFB1	0.96
IL6	CXCL10	0.96
IL6	PTGS2	0.96
IL6	MMP9	0.959
IL6	IL11	0.959
IL6	IL13	0.957
IL6	LIFR	0.956
IL6	IL10RA	0.956
IL6	IL2RA	0.953
IL6	A2M	0.95
IL6	CCL5	0.95
IL6	MYD88	0.949
