preferredName_A	preferredName_B	score
STK11	CAB39	0.999
STK11	STRADA	0.999
STK11	CAB39L	0.998
STK11	STRADB	0.994
STK11	AXIN1	0.993
STK11	PRKAA1	0.986
STK11	PTEN	0.979
STK11	PRKAA2	0.978
STK11	PRKAB2	0.976
STK11	PRKAB1	0.975
STK11	PRKAG1	0.974
STK11	TP53	0.97
STK11	PRKAG2	0.962
STK11	FOXO3	0.96
STK11	PRKAG3	0.959
STK11	FOXO1	0.955
STK11	ARHGEF18	0.951
STK11	PRKCZ	0.948
STK11	CAMKK2	0.944
STK11	FOXO4	0.937
STK11	NUAK1	0.93
STK11	SMARCA4	0.92
STK11	PRKCI	0.914
STK11	STK11IP	0.912
STK11	SIRT1	0.903
