preferredName_A	preferredName_B	score
RPS6KB1	RPS6	0.999
RPS6KB1	RPTOR	0.999
RPS6KB1	MTOR	0.999
RPS6KB1	IRS1	0.994
RPS6KB1	DEPTOR	0.991
RPS6KB1	MLST8	0.991
RPS6KB1	EIF4B	0.991
RPS6KB1	AKT1S1	0.99
RPS6KB1	PDPK1	0.986
RPS6KB1	EIF4E	0.985
RPS6KB1	AKT1	0.982
RPS6KB1	RICTOR	0.981
RPS6KB1	PPP2CA	0.979
RPS6KB1	EIF4EBP1	0.972
RPS6KB1	RHEB	0.968
RPS6KB1	EEF2K	0.961
RPS6KB1	JUN	0.959
RPS6KB1	FKBP1A	0.956
RPS6KB1	ESR1	0.955
RPS6KB1	TSC2	0.952
RPS6KB1	EIF4G1	0.952
RPS6KB1	FOS	0.946
RPS6KB1	AKT3	0.943
RPS6KB1	AKT2	0.94
RPS6KB1	MAPK3	0.935
RPS6KB1	PRKACA	0.934
RPS6KB1	PRKACB	0.932
RPS6KB1	NCOA3	0.931
RPS6KB1	PRKACG	0.931
RPS6KB1	ESR2	0.928
RPS6KB1	MAPK1	0.927
RPS6KB1	PPP2R1A	0.925
RPS6KB1	SP1	0.925
RPS6KB1	POLDIP3	0.921
RPS6KB1	PPP2CB	0.92
RPS6KB1	PPP2R1B	0.919
RPS6KB1	FOXA2	0.919
RPS6KB1	TBK1	0.917
RPS6KB1	CARM1	0.915
RPS6KB1	PTEN	0.914
RPS6KB1	RPS6KB2	0.913
RPS6KB1	RRAGB	0.913
RPS6KB1	MED1	0.908
RPS6KB1	TSC1	0.906
