Biomarker_1,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
MVP_CLIC1_norm,0.87627,0.06061,0.98246,0.08772,0.83333,0.51852,0.27273,0.94737,0.56140,0.91429,0.68354,0.56566,0.75439,0.89474,0.78462,0.87755
CLIC1_MVP_norm,0.87627,0.06061,0.98246,0.08772,0.83333,0.51852,0.27273,0.94737,0.56140,0.91429,0.68354,0.56566,0.75439,0.89474,0.78462,0.87755
Endometrial_thickness,0.86396,0.20202,0.98305,0.35088,0.95238,0.61053,0.24242,0.96610,0.45614,0.92857,0.64773,0.57576,0.64407,0.92982,0.71622,0.90476
AGRIN_TIMP2_norm,0.82275,0.09091,0.98276,0.03509,0.66667,0.50893,0.10101,0.94828,0.05263,0.50000,0.50459,0.61616,0.67241,0.96491,0.74324,0.95122
TIMP2_AGRIN_norm,0.82275,0.09091,0.98276,0.03509,0.66667,0.50893,0.10101,0.94828,0.05263,0.50000,0.50459,0.61616,0.67241,0.96491,0.74324,0.95122
TIMP2_CLIC1_norm,0.81317,0.13131,0.98246,0.19298,0.91667,0.54902,0.15152,0.96491,0.22807,0.86667,0.55556,0.61616,0.64912,0.94737,0.72973,0.92500
CLIC1_TIMP2_norm,0.81317,0.13131,0.98246,0.19298,0.91667,0.54902,0.15152,0.96491,0.22807,0.86667,0.55556,0.61616,0.64912,0.94737,0.72973,0.92500
MMP9_TIMP2_norm,0.80036,0.16162,0.98276,0.19298,0.91667,0.55340,0.20202,0.96552,0.28070,0.88889,0.57732,0.50505,0.70690,0.78947,0.72581,0.77358
TIMP2_MMP9_norm,0.80036,0.16162,0.98276,0.19298,0.91667,0.55340,0.20202,0.96552,0.28070,0.88889,0.57732,0.50505,0.70690,0.78947,0.72581,0.77358
KPYM_TIMP2_norm,0.8,0.0101,1.00000,0.01818,1.00000,0.50459,0.15152,0.94545,0.12727,0.70000,0.52000,0.63636,0.67273,0.96364,0.74648,0.94872
TIMP2_KPYM_norm,0.8,0.0101,1.00000,0.01818,1.00000,0.50459,0.15152,0.94545,0.12727,0.70000,0.52000,0.63636,0.67273,0.96364,0.74648,0.94872
KPYM_MVP_norm,0.78442,0.07071,0.98214,0.01818,0.50000,0.50459,0.16162,0.94643,0.05455,0.50000,0.50476,0.52525,0.69643,0.81818,0.72581,0.79592
MVP_KPYM_norm,0.78442,0.07071,0.98214,0.01818,0.50000,0.50459,0.16162,0.94643,0.05455,0.50000,0.50476,0.52525,0.69643,0.81818,0.72581,0.79592
