preferredName_A	preferredName_B	score
AURKA	TPX2	0.999
AURKA	TACC3	0.998
AURKA	MYCN	0.998
AURKA	TP53	0.998
AURKA	PLK1	0.997
AURKA	CDC20	0.995
AURKA	INCENP	0.994
AURKA	BIRC5	0.993
AURKA	NEDD9	0.99
AURKA	CCNB2	0.988
AURKA	UBE2C	0.986
AURKA	CCNB1	0.979
AURKA	BORA	0.976
AURKA	KIF2C	0.975
AURKA	CKAP5	0.974
AURKA	KIF11	0.972
AURKA	BUB1	0.971
AURKA	HMMR	0.97
AURKA	PTTG1	0.967
AURKA	DLGAP5	0.966
AURKA	TOP2A	0.963
AURKA	GADD45A	0.961
AURKA	CENPA	0.959
AURKA	CPEB1	0.955
AURKA	CDCA8	0.952
AURKA	NCAPG	0.952
AURKA	CDK1	0.951
AURKA	CCNA2	0.949
AURKA	FN1	0.945
AURKA	HDAC6	0.944
AURKA	BRCA1	0.942
AURKA	CEP192	0.94
AURKA	KIF20A	0.936
AURKA	CEP55	0.936
AURKA	NDC80	0.933
AURKA	ASPM	0.93
AURKA	MAD2L1	0.929
AURKA	KIF23	0.924
AURKA	BUB1B	0.924
AURKA	AURKB	0.922
AURKA	CPEB4	0.919
AURKA	PHLDA1	0.918
AURKA	CPEB2	0.918
AURKA	MYC	0.914
AURKA	MELK	0.913
AURKA	CPEB3	0.913
AURKA	PRC1	0.91
AURKA	FZR1	0.908
AURKA	CENPF	0.902
