Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
AGRIN_TIMP2,HSPB1_CLIC1,0.88166,1.0,0.03846,1.0,0.5098,0.0101
TIMP2_PERM,CLIC1_PERM,0.8793,1.0,0.26786,1.0,0.56842,0.0101
HSPB1_AGRIN,CLIC1_TIMP2,0.87796,1.0,0.01923,1.0,0.50485,0.0101
PERM_TIMP2,TIMP2_CLIC1,0.87434,1.0,0.17857,1.0,0.54,0.0101
AGRIN_HSPB1,TIMP2_CLIC1,0.87204,1.0,0.09615,1.0,0.52525,0.0101
AGRIN_TIMP2,TIMP2_CLIC1,0.86234,1.0,0.12727,1.0,0.53846,0.0101
AGRIN_PERM,TIMP2_PERM,0.8621,1.0,0.23214,1.0,0.5567,0.0101
PERM_TIMP2,TIMP2_AGRIN,0.86177,1.0,0.07143,1.0,0.50943,0.0101
MMP9_PERM,TIMP2_CLIC1,0.86149,1.0,0.06383,1.0,0.53684,0.0101
TIMP2_PERM,CLIC1_TIMP2,0.85747,1.0,0.16071,1.0,0.53465,0.0101
PERM_MMP9,TIMP2_CLIC1,0.8569,1.0,0.17021,1.0,0.56667,0.0101
TIMP2_AGRIN,CLIC1_TIMP2,0.85682,1.0,0.07273,1.0,0.52336,0.0101
PERM_MMP9,TIMP2_AGRIN,0.85649,1.0,0.06383,1.0,0.53684,0.0101
AGRIN_CLIC1,TIMP2_CLIC1,0.85455,1.0,0.14545,1.0,0.54369,0.0101
TIMP2_AGRIN,CLIC1_MMP9,0.85275,1.0,0.06522,1.0,0.55208,0.0101
TIMP2_CLIC1,,0.85268,1.0,0.07143,1.0,0.51852,0.0101
CLIC1_TIMP2,,0.85268,1.0,0.01786,1.0,0.5045,0.50505
TIMP2_CLIC1,CLIC1_TIMP2,0.85268,1.0,0.14286,1.0,0.53846,0.0101
TIMP2_AGRIN,CLIC1_HSPB1,0.85207,1.0,0.05769,1.0,0.51485,0.0101
KPYM_MMP9,AGRIN_TIMP2,0.85068,1.0,0.02564,1.0,0.57303,0.52525
PERM_CLIC1,TIMP2_CLIC1,0.84987,1.0,0.14286,1.0,0.52941,0.0101
PERM_PIGR,CLIC1_TIMP2,0.84899,1.0,0.02222,1.0,0.5,0.50505
