Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP2_CLIC1,0.85268,1.0,0.07143,1.0,0.51852,0.0101
CLIC1_TIMP2,0.85268,1.0,0.01786,1.0,0.5045,0.50505
AGRIN_TIMP2,0.83546,1.0,0.03571,1.0,0.50909,0.51515
TIMP2_AGRIN,0.83546,1.0,0.03571,1.0,0.50909,0.0101
PERM_TIMP2,0.75341,1.0,0.07018,1.0,0.50467,0.51515
TIMP2_PERM,0.75341,1.0,0.05263,1.0,0.5,0.0101
HSPB1_CLIC1,0.74318,1.0,0.01818,1.0,0.50909,0.29293
CLIC1_HSPB1,0.74318,1.0,0.05455,1.0,0.51852,0.50505
MMP9_CLIC1,0.74078,1.0,0.02041,1.0,0.54286,0.07071
CLIC1_MMP9,0.74078,1.0,0.04082,1.0,0.54808,0.50505
KPYM_TIMP2,0.74074,1.0,0.04348,1.0,0.55102,0.51515
TIMP2_KPYM,0.74074,1.0,0.02174,1.0,0.54545,0.0101
MMP9_AGRIN,0.72073,0.98246,0.02041,0.5,0.53846,0.31313
AGRIN_MMP9,0.72073,0.96491,0.02041,0.33333,0.53398,0.50505
