preferredName_A	preferredName_B	score
DCN	EGFR	0.999
DCN	TGFB1	0.999
DCN	FN1	0.996
DCN	ELN	0.993
DCN	YBX3	0.991
DCN	TLR2	0.99
DCN	BGN	0.989
DCN	YBX1	0.989
DCN	IGF1	0.989
DCN	TLR4	0.988
DCN	MET	0.986
DCN	HSPG2	0.986
DCN	VCAN	0.981
DCN	LUM	0.978
DCN	P3H3	0.964
DCN	ACAN	0.962
DCN	TGFB3	0.961
DCN	ERBB2	0.958
DCN	FGF7	0.954
DCN	MFAP2	0.954
DCN	VTN	0.945
DCN	FGF10	0.943
DCN	FGF22	0.94
DCN	CCN2	0.939
DCN	FGF20	0.938
DCN	FMOD	0.938
DCN	FGF16	0.938
DCN	FGF9	0.937
DCN	FGF18	0.937
DCN	COL14A1	0.937
DCN	FGF8	0.936
DCN	FGF6	0.936
DCN	FGF3	0.936
DCN	FGF4	0.936
DCN	SDC1	0.935
DCN	COL3A1	0.935
DCN	KDR	0.931
DCN	COL1A2	0.93
DCN	COL1A1	0.923
DCN	ERBB4	0.922
DCN	EGF	0.917
DCN	ERBB3	0.913
DCN	FBN1	0.912
DCN	FGF5	0.905
DCN	FGF17	0.905
DCN	SPARC	0.905
