,assembly,n_uniprots,composition,crystal_id
0,1,1.0,Homo,7f49
0,1,1.0,Homo,2mhp
0,1,1.0,Homo,4c29
1,2,1.0,Homo,4c29
0,1,1.0,Homo,1ijb
0,1,1.0,Homo,7eow
0,1,1.0,Homo,4nt5
0,1,3.0,Hetero,2adf
0,1,1.0,Homo,1atz
1,2,1.0,Homo,1atz
0,1,1.0,Homo,5bv8
0,1,1.0,Homo,7p4n
0,1,4.0,Homo,7pmv
0,1,1.0,Homo,3hxo
0,1,1.0,Homo,2mhq
0,1,2.0,Hetero,4c2b
1,2,2.0,Hetero,4c2b
2,3,2.0,Hetero,4c2b
3,4,2.0,Hetero,4c2b
0,1,1.0,Homo,4dmu
1,2,1.0,Homo,4dmu
2,3,1.0,Homo,4dmu
3,4,1.0,Homo,4dmu
4,5,1.0,Homo,4dmu
5,6,1.0,Homo,4dmu
0,1,1.0,Homo,3ppv
0,1,2.0,Hetero,1m10
0,1,1.0,Homo,1uex
0,1,0.0,Hetero,7kwo
0,1,1.0,Homo,1ao3
1,2,1.0,Homo,1ao3
0,1,1.0,Homo,1auq
0,1,1.0,Homo,6fwn
0,1,1.0,Homo,3hxq
0,1,1.0,Homo,1fe8
1,2,1.0,Homo,1fe8
2,3,1.0,Homo,1fe8
3,4,3.0,Homo,1fe8
0,1,1.0,Homo,3zqk
1,2,1.0,Homo,3zqk
2,3,1.0,Homo,3zqk
0,1,1.0,Homo,1fns
0,1,1.0,Homo,3gxb
1,2,1.0,Homo,3gxb
0,1,4.0,Homo,7zwh
0,1,2.0,Hetero,1sq0
0,1,1.0,Homo,3ppw
0,1,4.0,Hetero,1u0n
0,1,1.0,Homo,1oak
0,1,1.0,Homo,6n29
1,2,1.0,Homo,6n29
0,1,1.0,Homo,3ppy
0,1,2.0,Homo,7pnf
0,1,2.0,Hetero,4c2a
0,1,3.0,Hetero,1ijk
0,1,1.0,Homo,3ppx
