Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_MMK,KPYM_MMK,,0.76807,0.97333,0.10526,0.8,0.51773,0.53535
AGRIN_MMK,,,0.75364,0.98684,0.01316,0.5,0.5,0.51515
MMP9_MMK,HSPB1_MMK,AGRIN_MMK,0.75169,0.96667,0.35593,0.91304,0.60417,0.42424
KPYM_MMK,,,0.74333,0.97333,0.07895,0.75,0.51049,0.52525
HSPB1_MMK,AGRIN_MMK,KPYM_MMK,0.74289,0.9661,0.27119,0.88889,0.57,0.38384
HSPB1_MMK,AGRIN_MMK,,0.73898,0.96667,0.20339,0.85714,0.55238,0.40404
HSPB1_MMK,AGRIN_MMK,PERM_MMK,0.72764,0.96552,0.15254,0.81818,0.5283,0.39394
AGRIN_MMK,PERM_MMK,,0.71657,0,0,0,0,0.5
MMP9_MMK,HSPB1_MMK,KPYM_MMK,0.70612,0.9661,0.32203,0.90476,0.58763,0.42424
HSPB1_MMK,,,0.67373,1.0,0.0678,1.0,0.52174,0.51515
MMP9_MMK,,,0.66949,0.96053,0.26316,0.86957,0.56589,0.52525
MMP9_MMK,HSPB1_MMK,,0.66836,0.96667,0.22034,0.86667,0.55769,0.43434
PERM_MMK,,,0.66572,1.0,0.10526,1.0,0.52113,0.51515
MMP9_MMK,AGRIN_MMK,KPYM_MMK,0.64491,0.97333,0.09211,0.77778,0.51408,0.48485
MMP9_MMK,HSPB1_MMK,PERM_MMK,0.64348,0.96552,0.27119,0.88889,0.56566,0.43434
MMP9_MMK,AGRIN_MMK,,0.64301,0.96053,0.19737,0.83333,0.54478,0.51515
HSPB1_MMK,KPYM_MMK,,0.63775,0.98305,0.22034,0.92857,0.55769,0.42424
HSPB1_MMK,KPYM_MMK,PERM_MMK,0.63277,0.98246,0.23729,0.93333,0.55446,0.42424
HSPB1_MMK,PERM_MMK,,0.62887,0.96552,0.18644,0.84615,0.53846,0.46465
MMP9_MMK,KPYM_MMK,PERM_MMK,0.62689,0.9726,0.13158,0.83333,0.51825,0.43434
KPYM_MMK,PERM_MMK,,0.62401,0.9589,0.07895,0.66667,0.5,0.47475
AGRIN_MMK,KPYM_MMK,,0.61789,0.96,0.15789,0.8,0.52941,0.50505
AGRIN_MMK,KPYM_MMK,PERM_MMK,0.6159,0.9589,0.07895,0.66667,0.5,0.46465
MMP9_MMK,PERM_MMK,,0.60633,0.95946,0.17105,0.8125,0.52985,0.47475
MMP9_MMK,AGRIN_MMK,PERM_MMK,0.6042,0.97297,0.21053,0.88889,0.54545,0.48485
