preferredName_A	preferredName_B	score
CAV1	SRC	0.999
CAV1	CAVIN1	0.999
CAV1	CAV2	0.999
CAV1	NOS3	0.999
CAV1	EGFR	0.999
CAV1	ESR1	0.998
CAV1	FYN	0.997
CAV1	BSG	0.996
CAV1	CALML3	0.996
CAV1	CALML5	0.996
CAV1	CALML4	0.995
CAV1	CALML6	0.995
CAV1	CAV3	0.995
CAV1	CALM3	0.991
CAV1	DPP4	0.991
CAV1	PRNP	0.99
CAV1	HSP90AA1	0.988
CAV1	HSP90AB1	0.983
CAV1	ITGB1	0.98
CAV1	DNM2	0.976
CAV1	HRAS	0.974
CAV1	FLOT1	0.972
CAV1	IGF1R	0.971
CAV1	ESR2	0.971
CAV1	LRP6	0.971
CAV1	GJA1	0.965
CAV1	FLOT2	0.965
CAV1	KDR	0.962
CAV1	TLR4	0.962
CAV1	CD36	0.956
CAV1	SCARB1	0.952
CAV1	TRPV4	0.947
CAV1	CAVIN2	0.946
CAV1	TRPC1	0.945
CAV1	SCARB2	0.945
CAV1	CTNNB1	0.942
CAV1	MAP1LC3B	0.938
CAV1	AKT1	0.937
CAV1	ICAM1	0.934
CAV1	CSK	0.931
CAV1	ANXA2	0.922
CAV1	CAVIN3	0.922
CAV1	PRKACA	0.922
CAV1	PLIN1	0.92
CAV1	PTEN	0.912
CAV1	FLNA	0.908
CAV1	RAC1	0.908
CAV1	TGFBR1	0.907
CAV1	VCP	0.905
CAV1	GNAQ	0.905
