preferredName_A	preferredName_B	score
HSPA5	PDIA3	0.999
HSPA5	HSP90B1	0.999
HSPA5	ATF6	0.999
HSPA5	EIF2AK3	0.999
HSPA5	ERN1	0.999
HSPA5	HYOU1	0.999
HSPA5	CANX	0.998
HSPA5	DNAJC10	0.998
HSPA5	SIL1	0.998
HSPA5	DNAJB11	0.997
HSPA5	P4HB	0.996
HSPA5	MANF	0.996
HSPA5	CALR	0.995
HSPA5	PDIA6	0.995
HSPA5	SIGMAR1	0.992
HSPA5	PDIA4	0.99
HSPA5	DNAJC1	0.987
HSPA5	DNAJB9	0.985
HSPA5	HSPA8	0.983
HSPA5	DERL1	0.982
HSPA5	XBP1	0.98
HSPA5	OS9	0.98
HSPA5	DNAJC3	0.978
HSPA5	HSP90AB1	0.977
HSPA5	ATF4	0.975
HSPA5	SOD1	0.975
HSPA5	SEC61A1	0.974
HSPA5	A2M	0.972
HSPA5	AKT1	0.971
HSPA5	HSP90AA1	0.968
HSPA5	CASP7	0.966
HSPA5	FICD	0.963
HSPA5	SYVN1	0.961
HSPA5	EDEM1	0.957
HSPA5	PPIB	0.955
HSPA5	PRNP	0.954
HSPA5	GPX4	0.952
HSPA5	DNAJB1	0.95
HSPA5	SEL1L	0.949
HSPA5	ACE2	0.948
HSPA5	SNCA	0.947
HSPA5	DERL2	0.946
HSPA5	SQSTM1	0.946
HSPA5	VCP	0.944
HSPA5	TFAM	0.942
HSPA5	EIF2S1	0.939
HSPA5	TDGF1	0.928
HSPA5	DDIT3	0.921
HSPA5	DNAJB4	0.916
HSPA5	HSPA4	0.915
