preferredName_A	preferredName_B	score
VCAM1	ITGB1	0.999
VCAM1	ITGA4	0.999
VCAM1	ICAM1	0.999
VCAM1	ITGB2	0.998
VCAM1	CD44	0.994
VCAM1	ITGAL	0.992
VCAM1	ITGAM	0.991
VCAM1	SELPLG	0.99
VCAM1	ITGA9	0.989
VCAM1	FN1	0.983
VCAM1	MSN	0.982
VCAM1	EZR	0.98
VCAM1	SELE	0.979
VCAM1	CXCR4	0.978
VCAM1	ITGB7	0.974
VCAM1	ITGAD	0.973
VCAM1	SELL	0.97
VCAM1	SPARC	0.965
VCAM1	SELP	0.963
VCAM1	CYBB	0.959
VCAM1	NCF1	0.942
VCAM1	CYBA	0.938
VCAM1	ITGAX	0.936
VCAM1	NCF2	0.928
VCAM1	TNF	0.923
VCAM1	IL6	0.921
VCAM1	NCF4	0.92
VCAM1	IGBP1	0.91
VCAM1	CCL2	0.907
