Biomarker_1,Biomarker_2,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP2_MMP9,CLIC1_MMP9,0.88839,0.98214,0.09091,0.8,0.57895,0.0101
AGRIN_TIMP2,HSPB1_CLIC1,0.88166,1.0,0.03846,1.0,0.5098,0.0101
MMP9_TIMP2,CLIC1_TIMP2,0.88068,1.0,0.02273,1.0,0.56566,0.53535
TIMP2_PERM,CLIC1_PERM,0.8793,1.0,0.26786,1.0,0.56842,0.0101
HSPB1_AGRIN,CLIC1_TIMP2,0.87796,1.0,0.01923,1.0,0.50485,0.0101
PERM_TIMP2,TIMP2_CLIC1,0.87434,1.0,0.17857,1.0,0.54,0.0101
AGRIN_HSPB1,TIMP2_CLIC1,0.87204,1.0,0.09615,1.0,0.52525,0.0101
AGRIN_TIMP2,TIMP2_CLIC1,0.86234,1.0,0.12727,1.0,0.53846,0.0101
AGRIN_PERM,TIMP2_PERM,0.8621,1.0,0.23214,1.0,0.5567,0.0101
PERM_TIMP2,TIMP2_AGRIN,0.86177,1.0,0.07143,1.0,0.50943,0.0101
MMP9_TIMP2,TIMP2_CLIC1,0.85836,1.0,0.11364,1.0,0.58947,0.0101
TIMP2_PERM,CLIC1_TIMP2,0.85747,1.0,0.16071,1.0,0.53465,0.0101
TIMP2_AGRIN,CLIC1_TIMP2,0.85682,1.0,0.07273,1.0,0.52336,0.0101
TIMP2_MMP9,CLIC1_TIMP2,0.85593,1.0,0.04545,1.0,0.57143,0.0101
AGRIN_CLIC1,TIMP2_CLIC1,0.85455,1.0,0.14545,1.0,0.54369,0.0101
AGRIN_MMP9,TIMP2_MMP9,0.85357,0.98214,0.06667,0.75,0.56701,0.0101
TIMP2_CLIC1,,0.85268,1.0,0.07143,1.0,0.51852,0.0101
CLIC1_TIMP2,,0.85268,1.0,0.01786,1.0,0.5045,0.50505
TIMP2_CLIC1,CLIC1_TIMP2,0.85268,1.0,0.14286,1.0,0.53846,0.0101
TIMP2_AGRIN,CLIC1_HSPB1,0.85207,1.0,0.05769,1.0,0.51485,0.0101
PERM_CLIC1,TIMP2_CLIC1,0.84987,1.0,0.14286,1.0,0.52941,0.0101
PERM_PIGR,CLIC1_TIMP2,0.84899,1.0,0.02222,1.0,0.5,0.50505
PERM_KPYM,TIMP2_CLIC1,0.84866,1.0,0.13043,1.0,0.56522,0.0101
TIMP2_AGRIN,CLIC1_AGRIN,0.8474,1.0,0.07273,1.0,0.52336,0.0101
PIGR_CLIC1,TIMP2_PERM,0.84697,1.0,0.04444,1.0,0.50575,0.0101
KPYM_CLIC1,TIMP2_KPYM,0.84581,1.0,0.02174,1.0,0.54545,0.0101
AGRIN_HSPB1,CLIC1_TIMP2,0.84578,1.0,0.01923,1.0,0.50485,0.50505
HSPB1_CLIC1,CLIC1_TIMP2,0.84543,1.0,0.0566,1.0,0.5098,0.0101
TIMP2_CLIC1,CLIC1_HSPB1,0.84507,1.0,0.13208,1.0,0.53061,0.0101
AGRIN_KPYM,TIMP2_KPYM,0.8442,1.0,0.1087,1.0,0.56842,0.0101
TIMP2_KPYM,CLIC1_KPYM,0.843,1.0,0.13043,1.0,0.57447,0.0101
TIMP2_PERM,CLIC1_KPYM,0.84156,1.0,0.13043,1.0,0.56522,0.0101
MMP9_CLIC1,TIMP2_CLIC1,0.84131,1.0,0.04545,1.0,0.57143,0.0101
PERM_TIMP2,CLIC1_TIMP2,0.84127,1.0,0.03571,1.0,0.5,0.50505
KPYM_CLIC1,AGRIN_TIMP2,0.84058,1.0,0.1087,1.0,0.56842,0.0101
PERM_HSPB1,TIMP2_CLIC1,0.84,1.0,0.07547,1.0,0.50505,0.0101
KPYM_CLIC1,TIMP2_AGRIN,0.83977,1.0,0.02174,1.0,0.54545,0.0101
AGRIN_TIMP2,PERM_PIGR,0.83939,1.0,0.02222,1.0,0.5,0.51515
MMP9_KPYM,TIMP2_CLIC1,0.83934,1.0,0.08108,1.0,0.61364,0.0101
AGRIN_TIMP2,TIMP2_PERM,0.83829,1.0,0.125,1.0,0.52427,0.0101
TIMP2_HSPB1,CLIC1_HSPB1,0.83745,1.0,0.03774,1.0,0.50485,0.0101
TIMP2_MMP9,CLIC1_PERM,0.83712,0.98148,0.09091,0.8,0.56989,0.0101
PIGR_CLIC1,TIMP2_AGRIN,0.83696,1.0,0.02273,1.0,0.51685,0.0101
PERM_CLIC1,TIMP2_PERM,0.83631,1.0,0.05357,1.0,0.50467,0.0101
AGRIN_TIMP2,,0.83546,1.0,0.03571,1.0,0.50909,0.51515
TIMP2_AGRIN,,0.83546,1.0,0.03571,1.0,0.50909,0.0101
AGRIN_TIMP2,TIMP2_AGRIN,0.83546,1.0,0.07143,1.0,0.51852,0.0101
PIGR_PERM,TIMP2_CLIC1,0.83384,1.0,0.06667,1.0,0.51163,0.0101
PIGR_PERM,TIMP2_AGRIN,0.83182,1.0,0.02222,1.0,0.5,0.0101
MMP9_TIMP2,AGRIN_TIMP2,0.83135,1.0,0.02222,1.0,0.56,0.52525
MMP9_CLIC1,TIMP2_MMP9,0.83076,1.0,0.02273,1.0,0.56566,0.11111
TIMP2_AGRIN,CLIC1_KPYM,0.83052,1.0,0.1087,1.0,0.56842,0.0101
HSPB1_CLIC1,PERM_TIMP2,0.82981,1.0,0.03774,1.0,0.49505,0.0101
HSPB1_TIMP2,CLIC1_TIMP2,0.8291,1.0,0.01887,1.0,0.5,0.0101
PERM_CLIC1,TIMP2_AGRIN,0.82862,1.0,0.03636,1.0,0.50467,0.0101
HSPB1_MMP9,CLIC1_TIMP2,0.8283,1.0,0.07143,1.0,0.57143,0.07071
TIMP2_PERM,CLIC1_PIGR,0.82828,1.0,0.2,1.0,0.55,0.0101
TIMP2_PERM,CLIC1_HSPB1,0.82679,1.0,0.11321,1.0,0.51546,0.0101
PERM_AGRIN,TIMP2_CLIC1,0.8266,1.0,0.12727,1.0,0.52941,0.0101
AGRIN_TIMP2,TIMP2_MMP9,0.82659,1.0,0.04444,1.0,0.56566,0.0101
PERM_AGRIN,TIMP2_AGRIN,0.8254,1.0,0.07143,1.0,0.50943,0.0101
TIMP2_CLIC1,CLIC1_KPYM,0.82448,1.0,0.13043,1.0,0.57447,0.0101
