preferredName_A	preferredName_B	score
HNRNPD	HNRNPA3	0.999
HNRNPD	EIF4G1	0.99
HNRNPD	HSPA8	0.98
HNRNPD	SYNCRIP	0.98
HNRNPD	PAIP1	0.977
HNRNPD	HNRNPU	0.973
HNRNPD	NCL	0.971
HNRNPD	ELAVL1	0.97
HNRNPD	DNMT1	0.968
HNRNPD	TNPO1	0.968
HNRNPD	HNRNPK	0.965
HNRNPD	HNRNPC	0.962
HNRNPD	HNRNPM	0.962
HNRNPD	PTBP1	0.96
HNRNPD	PABPC1	0.96
HNRNPD	PCBP2	0.956
HNRNPD	HNRNPA2B1	0.947
HNRNPD	HNRNPF	0.941
HNRNPD	FUS	0.938
HNRNPD	HNRNPA1	0.932
HNRNPD	CSDE1	0.931
HNRNPD	HNRNPH1	0.93
HNRNPD	KHSRP	0.929
HNRNPD	HNRNPL	0.924
HNRNPD	HNRNPH3	0.918
HNRNPD	HSPA4	0.918
HNRNPD	HSPB1	0.911
HNRNPD	KHDRBS1	0.907
HNRNPD	HNRNPR	0.906
