uniprot_id	gene_id
A0A7I2V5D8	HNRNPA3
E9PLB0	RBM4B
D6R9K7	RBM4
Q8TBY0	RBM46
F8WE16	TIA1
Q9NQ94	A1CF
F2Z2U1	RBMY1B
Q15415	RBMY1F
F2Z2U1	RBMY1B
F2Z2U1	RBMY1B
F2Z2U1	RBMY1B
Q15415	RBMY1F
Q9Y4C8	RBM19
D6RCT1	RBM47
O75526	RBMXL2
Q8N7X1	RBMXL3
A0A0S2Z569	DAZAP1
A0A7I2V3P1	HNRNPA2B1
A0A1B0GUK8	RBMXL1
H3BT71	RBMX
Q9NX07	TRNAU1AP
Q9H5V0	RBM3
K7ER40	CIRBP
A0A2R8Y4L2	HNRNPA1L3
A0A7I2V2Z4	HNRNPA1
Q32P51	HNRNPA1L2
D6R9P3	HNRNPAB
Q8IYX4	DND1
B4DM51	MSI2
O43347	MSI1
Q13151	HNRNPA0
A0A7I2V699	NCL
G3XAP0	RBM23
Q01085	TIAL1
A0A087WUK2	HNRNPDL
A0A087X122	RBM39
