Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP2_CLIC1,0.84056,1.0,0.0678,1.0,0.51754,0.0101
CLIC1_TIMP2,0.84056,1.0,0.0678,1.0,0.51754,0.50505
AGRIN_TIMP2,0.83769,1.0,0.05085,1.0,0.51304,0.50505
TIMP2_AGRIN,0.83769,1.0,0.0339,1.0,0.50862,0.0101
PERM_TIMP2,0.74755,0,0,0,0,0.5
TIMP2_PERM,0.74755,1.0,0.0678,1.0,0.50893,0.0101
KPYM_TIMP2,0.72151,0,0,0,0,0.5
TIMP2_KPYM,0.72151,1.0,0.03448,1.0,0.51304,0.0101
MMP9_CLIC1,0.71861,1.0,0.03333,1.0,0.50847,0.0101
CLIC1_MMP9,0.71861,0,0,0,0,0.5
PIGR_CLIC1,0.71639,1.0,0.01667,1.0,0.5042,0.0101
CLIC1_PIGR,0.71639,0,0,0,0,0.5
HSPB1_CLIC1,0.70694,1.0,0.01667,1.0,0.5042,0.0101
CLIC1_HSPB1,0.70694,0.98333,0.06667,0.8,0.51304,0.50505
MMP9_AGRIN,0.70111,0.98333,0.01667,0.5,0.5,0.36364
AGRIN_MMP9,0.70111,0,0,0,0,0.5
