preferredName_A	preferredName_B	score
COL1A1	COL3A1	0.999
COL1A1	COL1A2	0.999
COL1A1	COL5A2	0.995
COL1A1	COL5A1	0.994
COL1A1	CD44	0.987
COL1A1	ITGB1	0.984
COL1A1	ITGA2	0.983
COL1A1	LUM	0.981
COL1A1	COL6A3	0.974
COL1A1	BGN	0.974
COL1A1	FN1	0.974
COL1A1	CRTAP	0.971
COL1A1	COL6A1	0.969
COL1A1	SPARC	0.968
COL1A1	COL11A1	0.965
COL1A1	RUNX2	0.955
COL1A1	COL6A2	0.954
COL1A1	P3H1	0.945
COL1A1	ITGA5	0.944
COL1A1	GP6	0.943
COL1A1	ADAMTS2	0.936
COL1A1	ITGB3	0.932
COL1A1	FBN1	0.929
COL1A1	ACTA2	0.928
COL1A1	DCN	0.923
COL1A1	SERPINH1	0.921
COL1A1	POSTN	0.903
