Biomarker_1,Biomarker_2,Biomarker_3,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
PERM,,,0.85714,1.0,0.13636,1.0,0.525,0.53535
MMP9,PERM,,0.84199,1.0,0.04545,1.0,0.5,0.52525
MMP9,,,0.83149,1.0,0.02128,1.0,0.52083,0.53535
MMP9,HSPB1,TIMP-2,0.77349,1.0,0.02326,1.0,0.54348,0.09091
MMP9,TIMP-2,,0.73787,1.0,0.02128,1.0,0.52083,0.11111
MMP9,HSPB1,ADIPOQ,0.73488,1.0,0.04651,1.0,0.54945,0.13131
MMP9,ADIPOQ,TIMP-2,0.72426,1.0,0.02128,1.0,0.52083,0.11111
HSPB1,PERM,TIMP-2,0.71845,1.0,0.025,1.0,0.51852,0.11111
MMP9,PERM,TIMP-2,0.69859,1.0,0.02273,1.0,0.49412,0.15152
HSPB1,PERM,ADIPOQ,0.69762,1.0,0.05,1.0,0.525,0.25253
MMP9,ADIPOQ,,0.69745,1.0,0.04255,1.0,0.52632,0.20202
PERM,TIMP-2,,0.69535,1.0,0.02273,1.0,0.49412,0.14141
MMP9,HSPB1,,0.69349,1.0,0.02326,1.0,0.54348,0.33333
ADIPOQ,,,0.6934,0.96,0.04255,0.5,0.51613,0.52525
PERM,ADIPOQ,TIMP-2,0.68831,1.0,0.02273,1.0,0.49412,0.15152
MMP9,PERM,ADIPOQ,0.68019,1.0,0.04545,1.0,0.5,0.23232
MMP9,HSPB1,PERM,0.67679,1.0,0.025,1.0,0.51852,0.31313
HSPB1,PERM,,0.67262,1.0,0.025,1.0,0.51852,0.34343
PERM,ADIPOQ,,0.66667,1.0,0.04545,1.0,0.5,0.29293
HSPB1,,,0.65814,0.98,0.04651,0.66667,0.54444,0.53535
TIMP-2,,,0.61936,0.98,0.02128,0.5,0.51579,0.51515
ADIPOQ,TIMP-2,,0.61021,1.0,0.02128,1.0,0.52083,0.41414
HSPB1,ADIPOQ,,0.60744,1.0,0.02326,1.0,0.54348,0.46465
HSPB1,ADIPOQ,TIMP-2,0.6014,1.0,0.02326,1.0,0.54348,0.38384
HSPB1,TIMP-2,,0.59907,1.0,0.02326,1.0,0.54348,0.37374
