preferredName_A	preferredName_B	score
TP53	SFN	0.999
TP53	EP300	0.999
TP53	HIF1A	0.999
TP53	HDAC1	0.999
TP53	HSP90AA1	0.999
TP53	ATM	0.999
TP53	MDM4	0.999
TP53	CHEK2	0.999
TP53	BCL2	0.999
TP53	BCL2L1	0.999
TP53	PPP1R13L	0.999
TP53	DAXX	0.999
TP53	SIRT1	0.999
TP53	BRCA1	0.999
TP53	CDKN1A	0.999
TP53	TP53BP2	0.999
TP53	UBE3A	0.999
TP53	USP7	0.999
TP53	CREBBP	0.999
TP53	MDM2	0.999
TP53	RPA1	0.999
TP53	CDKN2A	0.999
TP53	TP53BP1	0.999
TP53	PTEN	0.999
TP53	HIPK2	0.999
TP53	RAD51	0.999
TP53	RCHY1	0.998
TP53	CREB1	0.998
TP53	HTT	0.998
TP53	NDN	0.998
TP53	AURKA	0.998
TP53	MAPK1	0.998
TP53	CCNG1	0.998
TP53	FOXO3	0.998
TP53	HSPA9	0.998
TP53	DNMT1	0.997
TP53	JUN	0.997
TP53	HSPA4	0.997
TP53	DDX5	0.997
TP53	CHEK1	0.997
TP53	PRKDC	0.997
TP53	MYC	0.997
TP53	NPM1	0.997
TP53	MAPK8	0.997
TP53	TBP	0.997
TP53	CCNA2	0.997
TP53	HMGB1	0.997
TP53	BAK1	0.997
TP53	KAT5	0.996
TP53	S100A4	0.996
