preferredName_A	preferredName_B	score
APOA1	APOA2	0.999
APOA1	APOE	0.999
APOA1	APOB	0.999
APOA1	APOC3	0.999
APOA1	SCARB1	0.999
APOA1	ABCA1	0.999
APOA1	LCAT	0.999
APOA1	APOL1	0.998
APOA1	ALB	0.998
APOA1	PON1	0.998
APOA1	HP	0.998
APOA1	CLU	0.998
APOA1	A2M	0.998
APOA1	APOC1	0.998
APOA1	ABCG1	0.997
APOA1	APOC2	0.997
APOA1	HPR	0.997
APOA1	TTR	0.994
APOA1	ABCA7	0.992
APOA1	APOA4	0.989
APOA1	CETP	0.989
APOA1	CUBN	0.985
APOA1	APOH	0.985
APOA1	APP	0.982
APOA1	LPA	0.976
APOA1	NAXE	0.975
APOA1	PLTP	0.973
APOA1	APOM	0.972
APOA1	APOD	0.96
APOA1	C3	0.957
APOA1	APOA5	0.951
APOA1	LBP	0.949
APOA1	AHSG	0.944
APOA1	LIPC	0.94
APOA1	SAA4	0.931
APOA1	SERPINA1	0.927
APOA1	F2	0.927
APOA1	PLA2G7	0.924
APOA1	MPO	0.924
APOA1	TF	0.919
APOA1	CD36	0.917
APOA1	B2M	0.913
APOA1	MMP14	0.913
APOA1	APOF	0.912
APOA1	SAA2-SAA4	0.907
APOA1	INS	0.906
APOA1	FGA	0.902
APOA1	APOC4	0.901
