preferredName_A	preferredName_B	score
TOP2A	NUSAP1	0.999
TOP2A	CDK1	0.997
TOP2A	ASPM	0.996
TOP2A	TOP1	0.994
TOP2A	MKI67	0.993
TOP2A	CCNB1	0.989
TOP2A	BUB1	0.982
TOP2A	CCNA2	0.982
TOP2A	BUB1B	0.98
TOP2A	CDC20	0.98
TOP2A	DLGAP5	0.978
TOP2A	BIRC5	0.976
TOP2A	KIF11	0.975
TOP2A	CCNB2	0.975
TOP2A	CENPF	0.974
TOP2A	KIF20A	0.974
TOP2A	TOP2B	0.973
TOP2A	UBE2C	0.973
TOP2A	AURKB	0.97
TOP2A	NCAPG	0.967
TOP2A	TOP1MT	0.964
TOP2A	AURKA	0.963
TOP2A	TYMS	0.96
TOP2A	PBK	0.958
TOP2A	TTK	0.958
TOP2A	RRM2	0.956
TOP2A	KIF15	0.955
TOP2A	MELK	0.955
TOP2A	PTTG1	0.942
TOP2A	TPX2	0.942
TOP2A	SPAG5	0.941
TOP2A	KIF2C	0.937
TOP2A	NUF2	0.936
TOP2A	PRC1	0.932
TOP2A	PLK1	0.931
TOP2A	NEK2	0.928
TOP2A	CEP55	0.928
TOP2A	SMC2	0.928
TOP2A	KIF14	0.927
TOP2A	FOXM1	0.927
TOP2A	KIF23	0.927
TOP2A	CENPE	0.926
TOP2A	PCLAF	0.92
TOP2A	CDCA8	0.92
TOP2A	CENPA	0.919
TOP2A	CDC45	0.917
TOP2A	TOP3A	0.917
TOP2A	CDCA5	0.917
TOP2A	KIF4A	0.915
TOP2A	HJURP	0.911
