preferredName_A	preferredName_B	score
SDHB	SDHA	0.999
SDHB	SDHC	0.999
SDHB	FH	0.999
SDHB	SUCLG1	0.999
SDHB	NDUFV2	0.999
SDHB	SDHD	0.999
SDHB	NDUFS8	0.998
SDHB	SDHAF2	0.998
SDHB	UQCRFS1	0.998
SDHB	NDUFB8	0.997
SDHB	NDUFS2	0.997
SDHB	SUCLA2	0.997
SDHB	UQCRC2	0.997
SDHB	NDUFS1	0.996
SDHB	CS	0.996
SDHB	NDUFS3	0.996
SDHB	F5H5T6_HUMAN	0.994
SDHB	NDUFV1	0.993
SDHB	SUCLG2	0.993
SDHB	SDHAF1	0.991
SDHB	MT-CO1	0.991
SDHB	MT-CO3	0.982
SDHB	MT-CO2	0.98
SDHB	NDUFS7	0.976
SDHB	CYC1	0.975
SDHB	COX5B	0.972
SDHB	MT-ND1	0.971
SDHB	MDH2	0.971
SDHB	ATP5F1C	0.968
SDHB	NDUFB9	0.966
SDHB	NDUFA9	0.965
SDHB	MT-ND4	0.958
SDHB	NDUFA2	0.958
SDHB	UQCRB	0.957
SDHB	ACLY	0.953
SDHB	TRAP1	0.953
SDHB	NDUFA8	0.952
SDHB	ATP5F1A	0.949
SDHB	COX5A	0.946
SDHB	MT-CYB	0.946
SDHB	ACO2	0.94
SDHB	UQCRC1	0.938
SDHB	TMEM127	0.934
SDHB	COX4I1	0.932
SDHB	ATP5F1D	0.931
SDHB	NDUFA12	0.931
SDHB	SDHAF3	0.93
SDHB	GPD2	0.93
SDHB	MT-ND5	0.928
SDHB	HTT	0.927
