preferredName_A	preferredName_B	score
SRSF7	SRSF3	0.997
SRSF7	SRSF1	0.997
SRSF7	TRA2B	0.995
SRSF7	SRSF9	0.99
SRSF7	U2AF2	0.978
SRSF7	SRSF6	0.978
SRSF7	SRPK1	0.965
SRSF7	HNRNPA1	0.964
SRSF7	SRSF11	0.962
SRSF7	NXF1	0.962
SRSF7	SRSF2	0.961
SRSF7	ALYREF	0.958
SRSF7	HNRNPC	0.951
SRSF7	HNRNPA2B1	0.947
SRSF7	PTBP1	0.933
SRSF7	SRSF5	0.933
SRSF7	HNRNPL	0.926
SRSF7	HNRNPH1	0.922
SRSF7	RBMX	0.919
SRSF7	HNRNPF	0.918
SRSF7	U2AF1	0.917
SRSF7	EIF4A3	0.908
SRSF7	DDX39B	0.905
SRSF7	NCBP2	0.904
SRSF7	SRSF4	0.903
SRSF7	HNRNPM	0.902
SRSF7	ZRSR2	0.901
