preferredName_A	preferredName_B	score
HIF1A	EGLN3	0.999
HIF1A	ARNT	0.999
HIF1A	CUL2	0.999
HIF1A	CREBBP	0.999
HIF1A	HIF1AN	0.999
HIF1A	ARNT2	0.999
HIF1A	EGLN2	0.999
HIF1A	TP53	0.999
HIF1A	EP300	0.999
HIF1A	ELOB	0.999
HIF1A	HSP90AA1	0.999
HIF1A	VHL	0.999
HIF1A	EGLN1	0.999
HIF1A	ELOC	0.999
HIF1A	EPAS1	0.998
HIF1A	CTNNB1	0.998
HIF1A	HSP90AB1	0.998
HIF1A	FOXO3	0.997
HIF1A	PKM	0.996
HIF1A	STAT3	0.994
HIF1A	HIF3A	0.994
HIF1A	NOTCH1	0.993
HIF1A	MYC	0.993
HIF1A	RELA	0.989
HIF1A	XBP1	0.988
HIF1A	MDM2	0.988
HIF1A	FOXP3	0.988
HIF1A	MAPK1	0.985
HIF1A	HDAC1	0.983
HIF1A	TCHP	0.983
HIF1A	EIF5B	0.981
HIF1A	SIRT6	0.98
HIF1A	RBX1	0.978
HIF1A	SMAD3	0.975
HIF1A	MAPK3	0.969
HIF1A	EPO	0.967
HIF1A	ARNTL	0.963
HIF1A	JUN	0.961
HIF1A	CDKN2A	0.956
HIF1A	HDAC4	0.955
HIF1A	KDM4C	0.953
HIF1A	UBC	0.95
HIF1A	ESR1	0.948
HIF1A	BCL2	0.946
HIF1A	RUNX1	0.945
HIF1A	CA9	0.944
HIF1A	HSPA4	0.938
HIF1A	EGFR	0.934
HIF1A	RACK1	0.933
HIF1A	AKT1	0.932
