preferredName_A	preferredName_B	score
NME1	NME2	0.995
NME1	NME3	0.989
NME1	NME4	0.984
NME1	APEX1	0.982
NME1	NME1-NME2	0.981
NME1	ANP32A	0.978
NME1	TIAM1	0.965
NME1	DTYMK	0.958
NME1	ITPA	0.958
NME1	CTPS1	0.951
NME1	HDDC3	0.946
NME1	NTPCR	0.946
NME1	DUT	0.945
NME1	GUK1	0.945
NME1	PRUNE1	0.942
NME1	CTPS2	0.939
NME1	AK9	0.939
NME1	CMPK2	0.935
NME1	ENPP1	0.931
NME1	DCTPP1	0.93
NME1	AK3	0.93
NME1	NME6	0.929
NME1	NME7	0.929
NME1	ENPP3	0.928
NME1	PKM	0.923
NME1	PKLR	0.914
NME1	SET	0.912
NME1	NUDT2	0.91
NME1	NUDT16	0.905
NME1	ENTPD2	0.903
