preferredName_A	preferredName_B	score
CCL20	CCRL2	0.999
CCL20	CCL5	0.999
CCL20	CXCL12	0.999
CCL20	CCR6	0.999
CCL20	CXCL11	0.999
CCL20	CXCL5	0.999
CCL20	PF4	0.998
CCL20	CXCL17	0.997
CCL20	XCL2	0.995
CCL20	CCR2	0.995
CCL20	CCR7	0.994
CCL20	CCR5	0.994
CCL20	CXCR3	0.993
CCL20	CXCL1	0.981
CCL20	CCL2	0.979
CCL20	CCR1	0.973
CCL20	CCL3	0.97
CCL20	CCL19	0.961
CCL20	CXCR4	0.958
CCL20	IL1B	0.958
CCL20	CXCR6	0.956
CCL20	CXCL3	0.951
CCL20	CXCL2	0.951
CCL20	CCR8	0.949
CCL20	CXCR2	0.949
CCL20	CXCL8	0.941
CCL20	CCL4	0.94
CCL20	CXCL10	0.936
CCL20	IL6	0.935
CCL20	CX3CR1	0.933
CCL20	TNF	0.931
CCL20	ACKR4	0.928
CCL20	CX3CL1	0.92
CCL20	CCR10	0.916
CCL20	CCR3	0.912
CCL20	CXCR5	0.903
