preferredName_A	preferredName_B	score
EZH2	SUZ12	0.999
EZH2	RBBP7	0.999
EZH2	RBBP4	0.999
EZH2	EED	0.999
EZH2	DNMT1	0.999
EZH2	HDAC1	0.999
EZH2	BMI1	0.999
EZH2	DNMT3B	0.999
EZH2	HDAC2	0.999
EZH2	AEBP2	0.999
EZH2	JARID2	0.999
EZH2	DNMT3A	0.999
EZH2	EZH1	0.999
EZH2	RNF2	0.998
EZH2	H3C13	0.998
EZH2	YY1	0.998
EZH2	PHF1	0.998
EZH2	MTF2	0.998
EZH2	SNAI1	0.998
EZH2	ASXL1	0.998
EZH2	KDM1A	0.997
EZH2	CBX7	0.996
EZH2	CHD4	0.993
EZH2	H3-3B	0.99
EZH2	RING1	0.989
EZH2	HDAC3	0.989
EZH2	PHF19	0.989
EZH2	H3-4	0.989
EZH2	CTNNB1	0.986
EZH2	H3C12	0.985
EZH2	PCGF1	0.985
EZH2	COMMD3-BMI1	0.985
EZH2	MYC	0.984
EZH2	PHC1	0.982
EZH2	CBX2	0.98
EZH2	AR	0.978
EZH2	VAV1	0.978
EZH2	H4C6	0.977
EZH2	STAT3	0.973
EZH2	H3-2	0.972
EZH2	H3-5	0.972
EZH2	PCGF2	0.971
EZH2	CBX4	0.969
EZH2	CBX8	0.968
EZH2	KDM6A	0.965
EZH2	CDK1	0.965
EZH2	EP300	0.963
EZH2	SCML2	0.958
EZH2	SUV39H1	0.957
EZH2	H2AC8	0.956
