,crystal_id,assembly,n_uniprots,composition
0,5noy,1,1.0,Homo
0,5kun,1,1.0,Homo
0,1rmh,1,2.0,Homo
0,1cwb,1,1.0,Homo
0,4cyh,1,1.0,Homo
0,4yun,1,1.0,Homo
0,7qbw,1,1.0,Homo
0,1ak4,1,2.0,Hetero
1,1ak4,2,2.0,Hetero
0,6gjr,1,1.0,Homo
0,5cyh,1,1.0,Homo
0,1cwi,1,1.0,Homo
0,6zdj,1,10.0,Hetero
0,8tbj,1,2.0,Hetero
1,8tbj,2,2.0,Hetero
0,6gjl,1,1.0,Homo
0,6x4n,1,1.0,Homo
0,8tbk,1,2.0,Hetero
1,8tbk,2,2.0,Hetero
0,6u5g,1,1.0,Homo
0,4yum,1,1.0,Homo
0,2mzu,1,1.0,Homo
0,2rma,1,5.0,Homo
0,7uxj,1,1.0,Homo
1,7uxj,2,1.0,Homo
2,7uxj,3,1.0,Homo
3,7uxj,4,1.0,Homo
0,8tbi,1,2.0,Hetero
1,8tbi,2,2.0,Hetero
0,6y9w,1,10.0,Hetero
0,2n0t,1,1.0,Homo
0,5kv1,1,1.0,Homo
0,6gjp,1,1.0,Homo
0,2alf,1,1.0,Homo
0,5noz,1,1.0,Homo
0,6y9v,1,10.0,Hetero
0,8tbf,1,2.0,Hetero
1,8tbf,2,2.0,Hetero
0,8tbg,1,2.0,Hetero
1,8tbg,2,2.0,Hetero
0,8tbn,1,2.0,Hetero
1,8tbn,2,2.0,Hetero
0,6x3y,1,1.0,Homo
0,1w8l,1,1.0,Homo
0,8g9p,1,2.0,Hetero
1,8g9p,2,2.0,Hetero
0,4ipz,1,1.0,Homo
0,2x25,1,1.0,Homo
0,7uxn,1,1.0,Homo
0,1awr,1,1.0,Homo
1,1awr,2,1.0,Homo
2,1awr,3,1.0,Homo
3,1awr,4,1.0,Homo
4,1awr,5,1.0,Homo
5,1awr,6,1.0,Homo
0,5kur,1,1.0,Homo
0,1cwo,1,1.0,Homo
0,7abt,1,1.0,Homo
0,4n1n,1,1.0,Homo
0,2rmb,1,5.0,Homo
0,8tbh,1,2.0,Hetero
1,8tbh,2,2.0,Hetero
0,1nmk,1,1.0,Homo
